_RAJ2000	_DEJ2000	Seq	Name	n_Name	RAJ2000	DEJ2000	Dist
deg	deg	 	 	 	"h:m:s"	"d:m:s"	Mpc
----------	----------	---	--------------	-	----------	---------	-----
000.093750	+39.495556	  1	UGC12894      	s	00 00 22.5	+39 29 44	 8.20
000.492083	-15.460833	  2	WLM           	p	00 01 58.1	-15 27 39	 0.92
001.382500	-28.098056	  3	ESO409-IG015  	s	00 05 31.8	-28 05 53	10.40
002.055417	-34.578333	  4	ESO349-G031   	s	00 08 13.3	-34 34 42	 3.21
002.486250	-24.962222	  5	NGC24         	p	00 09 56.7	-24 57 44	 8.10
003.516667	-23.181944	  6	NGC45         	p	00 14 04.0	-23 10 55	 7.10
003.725000	-39.196944	  7	NGC55         	p	00 14 54.0	-39 11 49	 2.17
003.855833	-21.445000	  8	NGC59         	s	00 15 25.4	-21 26 42	 5.30
004.797500	-22.668333	  9	MCG-04-02-003 	s	00 19 11.4	-22 40 06	 9.80
005.096250	+59.293056	 10	IC10          	s	00 20 23.1	+59 17 35	 0.66
007.843750	-22.765833	 11	ESO473-G024   	s	00 31 22.5	-22 45 57	 8.00
010.625417	+40.575833	 12	AndIV         	s	00 42 30.1	+40 34 33	 6.11
010.684583	+41.269167	 13	NGC224        	p	00 42 44.3	+41 16 09	 0.79
010.765833	-22.246944	 14	IC1574        	p	00 43 03.8	-22 14 49	 4.92
011.784583	-20.760556	 15	NGC247        	p	00 47 08.3	-20 45 38	 3.65
011.887917	-25.288333	 16	NGC253        	p	00 47 33.1	-25 17 18	 3.94
012.455000	-21.015000	 17	UGCA15        	s	00 49 49.2	-21 00 54	 3.34
013.186667	-72.828611	 18	SMC           	p	00 52 44.8	-72 49 43	 0.06
013.722917	-37.683333	 19	NGC300        	p	00 54 53.5	-37 41 00	 2.00
015.979167	+21.885000	 20	LGS3          	s	01 03 55.0	+21 53 06	 0.62
016.199167	 +2.117778	 21	UGC668        	p	01 04 47.8	+02 07 04	 0.65
016.843333	+16.683889	 22	UGC685        	p	01 07 22.4	+16 41 02	 4.70
016.943333	 +1.063611	 23	UGC695        	s	01 07 46.4	+01 03 49	10.20
020.328750	+12.411944	 24	UGC891        	p	01 21 18.9	+12 24 43	10.80
022.197083	+16.688611	 25	UGC1056       	p	01 28 47.3	+16 41 19	10.30
023.177083	+18.317222	 26	UGC1104       	p	01 32 42.5	+18 19 02	 7.50
023.462083	+30.660278	 27	NGC598        	p	01 33 50.9	+30 39 37	 0.84
023.767500	-41.437500	 28	NGC625        	p	01 35 04.2	-41 26 15	 4.07
024.173750	+15.783056	 29	NGC628        	p	01 36 41.7	+15 46 59	 7.30
