Table 1 
ANGST Sample Galaxies and Planned Observations


Galaxy	Alt. Names	Dist. (Mpc)	R.A. (J2000)	Decl. (J2000)	Diam. (')	M_B	m_K	T	W_50  km s^-1	Group	# Fields	Deep?	3 Filt?	Arch?	
Antlia		1.3	10:04:04.0	-27:19:55	2.0	-9.38		10	22	14+12	1	Y		10210	
SexA	DDO75	1.3	10:11:00.8	-04:41:34	5.5	-13.71		10	63	14+12				7496^a	
N3109	DDO236	1.3	10:03:07.2	-26:09:36	17.0	-15.18	9.3	9	116	14+12	3	Y	Y		
SexB	U5373	1.4	10:00:00.1	05:19:56	5.1	-13.88		10	38	14+12	1	Y	Y		
KKR25		1.9	16:13:47.6	54:22:16	1.1	-9.94		10		M31(p)?	1	Y		8601^a	
KK230	KKR3	1.9	14:07:10.7	35:03:37	0.6	-8.49		10	21	M31(p)?	1	Y		9771	
E410-005		1.9	00:15:31.4	-32:10:48	1.3	-11.49		-1		14+13				10503	
E294-010		1.9	00:26:33.3	-41:51:20	1.1	-10.86		-3		14+13				10503	
N55		2.1	00:15:08.5	-39:13:13	32.4	-17.77	6.3	8	172	14+13	5	Y	Y	(9765)	
I5152		2.1	22:02:41.9	-51:17:43	5.2	-15.55	9.3	10	91	14+13	1	Y	Y		
GR8	U8091	2.1	12:58:40.4	14:13:03	1.1	-12.00	12.9	10	26		1	Y			
N300		2.1	00:54:53.5	-37:40:57	21.9	-17.66	6.4	7	149	14+13	4	Y	Y	(9492)	
UA438	E407-18	2.2	23:26:27.5	-32:23:26	1.5	-12.85		10	34	14+13	1	Y		8192^a	
DDO187	U9128	2.3	14:15:56.5	23:03:19	1.7	-12.43	12.5	10	34		1	Y		10210	
KKH98		2.5	23:45:34.0	38:43:04	1.1	-10.29		10	22	M31(p)?	1				
DDO125	U7577	2.5	12:27:41.8	43:29:38	4.3	-14.04		10	30	14+07	1		Y	8601^a	
U8508	IZw60	2.6	13:30:44.4	54:54:36	1.7	-12.95	12.0	10	49	14+07	1				
KKH86		2.6	13:54:33.6	04:14:35	0.7	-10.19		10	14		1			8601^a	
DDO99	U6817	2.6	11:50:53.0	38:52:50	4.1	-13.37		10	37	14+07	1			8601^a	
DDO190	U9240	2.8	14:24:43.5	44:31:33	1.8	-14.14		10	45	14+08	1		Y		
DDO113	UA276	2.9	12:14:57.9	36:13:08	1.5	-11.61		10		14+07	1				
N4214	U7278	2.9	12:15:38.9	36:19:39	8.5	-17.07	7.9	10	62	14+07	1	Y	Y		
DDO181	U8651	3.0	13:39:53.8	40:44:21	2.3	-12.94		10	39	14+08	1			10210	
N3741	U6572	3.0	11:36:06.4	45:17:07	2.0	-13.01	12.2	10	81	14+07	1				
N4163	U7199	3.0	12:12:08.9	36:10:10	1.9	-13.76	10.9	10	18	14+07	1		Y		
N404	U718	3.1	01:09:26.9	35:43:03	2.5	-16.25	8.6	-1	78		1	Y	Y		
UA292	CVnI-dwA	3.1	12:38:40.0	32:46:00	1.0	-11.36		10	27		1			(10905)	
U8833		3.1	13:54:48.7	35:50:15	0.9	-12.31		10	28	14+08	1			10210	
DDO183	U8760	3.2	13:50:51.1	38:01:16	2.2	-13.08		9		14+08	1				
N2366	U3851	3.2	07:28:52.0	69:12:19	7.3	-15.85	10.6	10	96	M81(p)				10605	
DDO44	UA133	3.2	07:34:11.3	66:53:10	3.0	-11.89		-3		M81(p)	1				
E321-014		3.2	12:13:49.6	-38:13:53	1.4	-12.31		10	25	CenA(p)	1			8601^a	
U4483		3.2	08:37:03.0	69:46:31	1.2	-12.58		10	33	M81				8769^a	
N2403	U3918	3.3	07:36:54.4	65:35:58	21.9	-18.77	6.2	6	231	M81	4	Y	Y	10182, 10579, 10523	
DDO6	UA15	3.3	00:49:49.3	-21:00:58	1.7	-12.40		10	22	Scl	1				
KKH37		3.4	06:47:45.8	80:07:26	1.2	-11.26		10	20		1			9771	
HoII	U4305	3.4	08:19:05.9	70:42:51	7.9	-16.57	8.8	10	66	M81		Y	Y	10605	
KDG2	E540-030,KK9	3.4	00:49:21.1	-18:04:28	1.2	-11.29		-1		Scl				10503	
MCG9-20-131		3.4	12:15:46.7	52:23:15	1.2	-12.36		10		M81?	1			10905^b	
E540-032		3.4	00:50:24.6	-19:54:25	1.3	-11.22		-3		Scl				10503	
FM1	F6D1	3.4	09:45:25.6	68:45:27	0.9	-10.16		-3		M81				9884	
KK77	F12D1	3.5	09:50:10.0	67:30:24	2.4	-11.42		-3		M81				9884	
KDG63	U5428,DDO71	3.5	10:05:07.3	66:33:18	1.7	-11.71		-3	19	M81				9884	
N4190	U7232	3.5	12:13:44.6	36:38:00	1.7	-14.20	10.8	10	46		1		Y	10905^b	
M82	N3034,U5322	3.5	09:55:53.9	69:40:57	11.2	-18.66	4.7	8	147	M81	1	Y	Y	(10776)	
KDG52	M81-Dwarf-A	3.5	08:23:56.0	71:01:46	1.3	-11.37		10	22	M81				10605	
DDO53	U4459	3.5	08:34:06.5	66:10:45	1.6	-13.23		10	25	M81				10605	
N2976	U5221	3.6	09:47:15.6	67:54:49	5.9	-16.77	7.5	5	97	M81	1	Y	Y		
KDG61		3.6	09:57:02.7	68:35:30	2.4	-12.54		-1		M81				9884	
M81	N3031,U5318	3.6	09:55:33.5	69:04:00	26.9	-20.09	3.8	3	422	M81	1	Y	Y	(10250, 10584, 10523)	
N247	UA11	3.6	00:47:08.3	-20:45:36	15.4	-17.92	7.4	7	210	Scl	4	Y	Y	(9771)	
HoIX	U5336,DDO66,KDG62	3.7	09:57:32.4	69:02:35	2.5	-13.31		10	69	M81				10605	
KDG64	U5442	3.7	10:07:01.9	67:49:39	1.9	-12.32		-3		M81				9884	
IKN		3.7	10:08:05.9	68:23:57	2.7	-10.84		-3		M81				9771	
KDG73		3.7	10:52:55.3	69:32:45	0.6	-10.75		10	18	M81	1				
DDO78		3.7	10:26:27.9	67:39:24	2.0	-12.04		-3		M81	1				
F8D1		3.8	09:44:47.1	67:26:19	5.5	-12.20		-3		M81				5898^a	
BK5N		3.8	10:04:40.3	68:15:20	0.8	-10.37		-3		M81	 sdotsdotsdot 			5898^b, 6964^a	
N3077	U5398	3.8	10:03:21.0	68:44:02	5.4	-17.44	7.3	10	65	M81	2	Y	Y	(9381)	
HoI	U5139,DDO63	3.8	09:40:28.2	71:11:11	3.6	-14.26		10	29	M81	 sdotsdotsdot 		Y	10605	
BK6N		3.8	10:34:31.9	66:00:42	1.1	-11.06		-3		M81	1				
A0952+69		3.9	09:57:29.0	69:16:20	1.8	-11.16		10		M81	1				
KKH57		3.9	10:00:16.0	63:11:06	0.6	-10.09		-3		M81	1				
N253	UA13	3.9	00:47:34.3	-25:17:32	26.7	-20.04	3.8	5	410	Scl	6	Y	Y		
HS117		4.0	10:21:25.2	71:06:58	1.5	-11.51		10	13	M81	1			9771	
DDO82	U5692	4.0	10:30:35.0	70:37:10	3.4	-14.44		9		M81	1		Y		
BK3N		4.0	09:53:48.5	68:58:09	0.5	-9.23		10	15	M81	1				
I2574	U5666,DDO81	4.0	10:28:22.4	68:24:58	13.2	-17.17	10.7	9	115	M81				9755,10605	
