ID  RA  Dec  z  log(M_stellar/M_sun) NUV  delta(g-i)  D25  b/a  R90/R50  log(M_HI/M_predicted)  Flag
1	123.591 766	39.251 354	0.0277	10.43	2.37	−0.21	75.96	0.83	2.70	−0.37	1
2	127.194 809	40.665 886	0.0245	10.62	3.02	−0.27	81.30	0.41	2.15	−0.62	1
3	129.277 161	41.456 322	0.0291	10.42	2.44	−0.25	49.08	0.80	2.15	−0.38	1
4	129.641 663	30.798 681	0.0256	10.57	2.36	−0.29	88.61	0.47	2.19	−0.40	1
5	132.318 298	36.119 797	0.0252	10.32	2.01	−0.12	65.27	0.93	2.06	−0.32	1
6	132.344 025	36.710 327	0.0251	10.84	2.94	−0.23	103.79	0.62	2.38	−0.77	1
7	132.356 155	41.771 252	0.0289	10.37	2.57	−0.23	69.28	0.26	2.44	−0.40	0
8	137.177 567	44.810 658	0.0267	10.28	2.19	−0.27	66.18	0.67	2.10	−0.25	1
9	138.742 996	51.361 061	0.0275	10.76	2.93	−0.17	73.23	0.46	2.35	−0.70	2
10	143.104 355	57.482 899	0.0294	10.91	2.43	−0.21	60.12	0.80	2.00	−0.62	2
11	152.726 593	45.950 371	0.0240	10.64	2.74	−0.18	73.74	0.56	2.07	−0.60	2
12	154.042 709	58.427 002	0.0255	10.63	2.68	−0.29	82.89	0.36	2.64	−0.58	1
13	166.995 911	35.463 264	0.0287	10.84	2.74	−0.28	83.31	0.46	2.74	−0.78	0
14	176.739 746	50.702 133	0.0238	10.79	3.25	−0.20	87.33	0.49	2.58	−0.86	1
15	177.247 757	35.016 048	0.0213	10.82	2.43	−0.21	111.76	0.63	2.71	−0.65	1
16	193.014 786	51.680 046	0.0272	10.31	2.01	−0.22	54.06	0.76	1.94	−0.21	1
17	196.806 625	58.135 014	0.0275	10.69	2.85	−0.25	61.00	0.71	2.46	−0.68	1
18	199.015 060	35.043 518	0.0232	10.34	2.28	−0.33	71.17	0.57	2.25	−0.33	1
19	212.631 851	38.893 559	0.0256	10.25	2.15	−0.27	57.90	0.69	2.16	−0.27	1
20	219.499 756	40.106 197	0.0261	10.21	1.55	−0.39	77.39	0.62	2.26	−0.02	1
21	241.892 578	36.484 032	0.0298	10.41	2.70	−0.33	46.28	0.63	2.17	−0.38	1
22	250.793 503	42.192 783	0.0284	10.82	3.07	−0.29	86.07	0.28	2.76	−0.79	1
23	251.811 615	40.245 079	0.0295	10.75	2.91	−0.27	79.17	0.45	2.50	−0.68	2
24	259.156 036	58.411 900	0.0296	10.71	2.72	−0.21	80.72	0.53	2.26	−0.66	1
25	262.156 342	57.145 065	0.0275	10.54	2.50	−0.36	58.66	0.77	2.52	−0.52	2
26	111.938 042	42.180 717	0.0231	10.31	3.81	−0.17	52.96	0.48	2.56	−0.78	1
27	120.669 388	34.521 431	0.0288	10.30	2.90	−0.14	36.99	0.78	1.93	−0.49	2
28	123.309 128	52.458 736	0.0183	10.54	3.69	−0.16	61.86	0.84	2.21	−0.87	2
29	127.312 149	55.522 991	0.0257	10.52	2.90	−0.25	74.80	0.44	2.17	−0.56	0
30	138.603 149	40.777 924	0.0280	10.39	2.92	−0.22	70.32	0.28	2.43	−0.48	1
31	139.190 598	45.812 244	0.0262	10.18	2.68	0.04	44.73	0.61	2.18	−0.51	0
32	139.646 255	32.270 008	0.0269	10.29	2.93	−0.12	53.68	0.67	1.98	−0.44	2
33	141.539 307	49.310 204	0.0269	10.74	3.99	−0.11	66.92	0.53	2.86	−1.02	2
34	147.539 001	33.569 332	0.0270	10.61	4.40	−0.13	50.40	0.68	2.81	−1.14	0
35	149.420 227	45.258 678	0.0242	10.61	3.32	−0.14	76.99	0.32	2.66	−0.77	1
36	149.454 529	51.821 190	0.0249	10.34	2.77	−0.14	46.80	0.67	1.97	−0.48	2
37	153.797 638	56.672 085	0.0260	10.39	2.81	−0.13	62.86	0.86	1.98	−0.46	2
38	153.926 071	55.667 500	0.0244	10.75	3.52	−0.18	57.91	0.71	2.12	−0.86	2
39	162.530 365	36.341 831	0.0239	10.84	4.31	−0.15	83.13	0.77	2.15	−1.14	2
40	168.563 553	34.154 381	0.0272	10.36	2.83	−0.15	44.02	0.78	1.98	−0.48	2
41	197.879 166	46.341 774	0.0297	10.79	3.45	−0.20	54.62	0.85	2.05	−0.87	0
42	198.236 252	47.456 657	0.0281	10.80	3.72	−0.13	65.32	0.52	2.69	−1.00	2
43	203.374 603	40.529 671	0.0269	10.26	2.74	−0.18	45.31	0.67	2.03	−0.37	2
44	205.251 038	42.431 423	0.0279	10.78	3.34	−0.16	61.53	0.63	2.20	−0.85	2
45	222.988 846	51.264 881	0.0259	10.68	3.40	−0.17	68.83	0.41	2.20	−0.80	2
46	241.528 976	35.981 434	0.0305	10.68	3.68	−0.20	58.79	0.44	2.45	−0.87	0
47	244.382 523	31.194 477	0.0240	10.53	2.91	−0.17	65.82	0.58	2.28	−0.62	1
48	246.259 842	40.946 644	0.0287	10.75	3.69	−0.13	56.45	0.52	2.38	−0.93	0
49	258.650 208	30.733 536	0.0296	10.42	2.82	−0.17	54.64	0.54	2.09	−0.48	2
50	261.557 251	62.149 483	0.0278	10.87	4.27	−0.11	82.39	0.27	2.57	−1.10	1
