Index	Name	RA	Dec	Dist
1	ESO 009-G010	17 39 31.76	−85 18 37.3	33.9
2	ESO 027-G001	21 52 26.37	−81 31 51.1	18.3
3	ESO 027-G008	22 23 04.19	−79 59 49.1	31
4	ESO 056-G115	05 23 34.52	−69 45 22.1	0.05
5	ESO 060-G019	08 57 26.71	−69 03 36.5	18.5
6	ESO 091-G003	09 13 31.59	−63 37 35.1	20.8
7	ESO 097-G013	14 13 09.95	−65 20 21.2	4.2
8	ESO 121-G006	06 07 29.69	−61 48 26.9	19.1
9	ESO 121-G026	06 21 38.68	−59 44 23.8	40.7
10	ESO 136-G012	16 02 35.49	−61 46 28.4	37.2
11	ESO 137-G018	16 20 58.39	−60 29 27.7	6.8
12	ESO 137-G034	16 35 14.11	−58 04 48.1	32.9
13	ESO 137-G038	16 40 52.50	−60 23 39.5	29.6
14	ESO 138-G005	16 53 53.52	−58 46 44.5	37
15	ESO 138-G010	16 59 02.89	−60 12 56.6	14.7
16	ESO 138-G029	17 29 18.45	−62 27 54.7	64
17	ESO 183-G030	18 56 55.90	−54 32 43.2	31.8
18	ESO 185-G054	20 03 27.00	−55 56 49.3	59.3
19	ESO 186-G062	20 34 02.12	−52 58 52.6	32.4
20	ESO 208-G021	07 33 56.26	−50 26 35.1	17
21	ESO 209-G009	07 58 15.45	−49 51 16.1	13.6
22	ESO 213-G011	10 16 55.44	−48 52 51.9	27.5
23	ESO 219-G021	13 02 21.04	−50 20 03.7	14.2
24	ESO 221-G026	14 08 23.68	−47 58 14.4	12.4
25	ESO 221-G032	14 12 09.17	−49 23 22.8	38.5
26	ESO 265-G007	11 07 48.52	−46 31 33.5	13.4
27	ESO 269-G057	13 10 04.46	−46 26 14.3	46.3
28	ESO 270-G017	13 34 47.51	−45 32 52.3	7.6
29	ESO 271-G010	14 00 46.40	−45 25 06.3	31.2
30	ESO 273-G014	14 58 30.38	−47 41 56.7	9.5
31	ESO 274-G001	15 14 13.43	−46 48 24.9	5.1
32	ESO 311-G012	07 47 34.05	−41 27 06.7	18.3
33	ESO 320-G026	11 49 50.29	−38 47 03.9	43.9
34	ESO 321-G025	12 21 42.92	−39 46 10.4	32.2
35	ESO 351-G030	01 00 10.73	−33 42 13.1	0.087
36	ESO 356-G004	02 40 01.45	−34 26 49.9	0.137
37	ESO 358-G063	03 46 18.94	−34 56 33.4	18.9
38	ESO 362-G011	05 16 38.70	−37 06 08.6	18.4
39	ESO 373-G008	09 33 21.57	−33 02 01.2	11.1
40	ESO 380-G001	12 14 45.12	−35 30 35.1	27.4
41	ESO 380-G006	12 15 34.27	−35 37 46.9	35.8
42	ESO 383-G087	13 49 17.52	−36 03 37.2	2.7
43	ESO 384-G002	13 51 19.34	−33 48 26.1	17.5
44	ESO 436-G027	10 28 53.54	−31 36 32.2	63.5
45	ESO 440-G011	11 48 45.53	−28 17 37.1	27.6
46	ESO 442-G026	12 52 13.31	−29 50 26.4	43.2
47	ESO 445-G089	14 01 04.03	−30 19 37.2	36.3
48	ESO 479-G004	02 26 21.74	−24 17 23.6	19.4
49	ESO 494-G026	08 06 11.09	−27 31 41.2	16.6
50	ESO 495-G021	08 36 15.19	−26 24 33.9	10.5
51	ESO 506-G004	12 21 49.03	−24 10 05.7	65.4
52	ESO 507-G025	12 51 31.83	−26 27 06.9	36.2
53	ESO 556-G015	06 21 05.55	−20 02 54.6	26.1
54	ESO 582-G012	15 26 08.02	−22 16 56.8	29.1
55	IC 438	05 53 00.07	−17 52 34.1	40.3
56	IC 764	12 10 14.18	−29 44 11.6	26.5
57	IC 1459	22 57 10.58	−36 27 43.6	26.9
58	IC 1633	01 09 55.49	−45 55 51.9	97
59	IC 1953	03 33 41.81	−21 28 43.4	22.6
60	IC 1954	03 31 31.50	−51 54 17.6	14
61	IC 1993	03 47 04.83	−33 42 36.2	13.6
62	IC 2000	03 49 07.66	−48 51 29.9	15.9
63	IC 2006	03 54 28.42	−35 58 01.5	19.1
64	IC 2035	04 09 01.84	−45 31 03.2	16.5
65	IC 2051	03 52 00.70	−83 49 50.9	24.2
66	IC 2056	04 16 24.47	−60 12 24.1	20.5
67	IC 2150	05 51 18.55	−38 19 13.7	43.9
68	IC 2163	06 16 27.98	−21 22 33.1	24.9
69	IC 2311	08 18 45.96	−25 22 11.2	26.1
70	IC 2367	08 24 10.04	−18 46 32.3	25
71	IC 2469	09 23 01.00	−32 26 58.9	23.1
72	IC 2522	09 55 08.98	−33 08 13.8	31.4
73	IC 2531	09 59 55.39	−29 37 01.3	36.8
74	IC 2537	10 03 51.87	−27 34 15.1	38.4
75	IC 2554	10 08 50.72	−67 01 52.4	21.2
76	IC 2560	10 16 18.69	−33 33 49.7	35.1
77	IC 2597	10 37 47.31	−27 04 52.3	35.8
78	IC 2627	11 09 53.35	−23 43 33.2	29.5
79	IC 2764	11 27 05.02	−28 58 48.6	27.6
80	IC 2995	12 05 46.97	−27 56 25.4	20.3
81	IC 3253	12 23 45.18	−34 37 19.8	53.5
82	IC 3370	12 27 37.33	−39 20 16.1	28
83	IC 3896	12 56 43.19	−50 20 48.8	28.7
84	IC 4214	13 17 42.69	−32 06 05.8	27.3
85	IC 4296	13 36 39.01	−33 57 56.6	49.6
86	IC 4329	13 49 05.32	−30 17 44.8	65.9
87	IC 4351	13 57 54.19	−29 18 56.2	32.7
88	IC 4402	14 21 12.97	−46 17 51.3	19.1
89	IC 4444	14 31 38.62	−43 25 09.1	26.9
90	IC 4538	15 21 11.59	−23 39 30.1	31.7
91	IC 4618	16 57 50.13	−76 59 34.6	41.5
92	IC 4646	17 23 53.14	−59 59 57.7	30.3
93	IC 4662	17 47 07.95	−64 38 34.1	2.7
94	IC 4710	18 28 37.58	−66 58 58.3	8.9
95	IC 4721	18 34 24.71	−58 29 47.7	21.9
96	IC 4742	18 41 52.57	−63 51 42.9	58.3
97	IC 4765	18 47 18.13	−63 19 51.9	58.3
98	IC 4797	18 56 29.68	−54 18 20.3	30.3
99	IC 4808	19 01 07.62	−45 18 49.2	55.3
100	IC 4831	19 14 43.78	−62 16 20.6	50.5
101	IC 4837A	19 15 16.19	−54 07 56.9	38
102	IC 4845	19 20 22.42	−60 23 20.7	53.2
103	IC 4889	19 45 15.11	−54 20 38.6	27.7
104	IC 4901	19 54 23.55	−58 42 48.7	21.9
105	IC 4946	20 23 58.06	−43 59 42.8	37.9
106	IC 4991	20 18 23.28	−41 03 00.3	75
107	IC 5011	20 28 33.78	−36 01 37.5	29.1
108	IC 5052	20 52 06.55	−69 12 11.5	8.1
109	IC 5152	22 02 41.11	−51 17 47.7	1.7
110	IC 5181	22 13 21.64	−46 01 02.7	24.8
111	IC 5201	22 20 57.39	−46 02 09.7	11.3
112	IC 5240	22 41 52.35	−44 46 01.7	21.4
113	IC 5250	22 47 19.68	−65 03 32.1	41.6
114	IC 5267	22 57 13.46	−43 23 45.1	26.1
115	IC 5273	22 59 26.64	−37 42 10.2	16.8
116	IC 5325	23 28 43.37	−41 19 59.4	18.1
117	IC 5328	23 33 16.40	−45 00 56.9	34.6
118	IC 5332	23 34 27.44	−36 06 03.6	8.4
119	NGC 24	00 09 56.15	−24 57 49.8	6.9
120	NGC 45	00 14 03.99	−23 10 55.5	9.9
121	NGC 55	00 15 08.50	−39 13 13.0	1.9
122	NGC 134	00 30 21.95	−33 14 38.2	19.2
123	NGC 150	00 34 15.43	−27 48 12.7	21.9
124	NGC 151	00 34 02.79	−09 42 19.4	46.5
125	NGC 157	00 34 46.76	−08 23 47.2	19.5
126	NGC 210	00 40 34.95	−13 52 21.9	19.7
127	NGC 245	00 46 05.38	−01 43 24.3	51.3
128	NGC 247	00 47 08.46	−20 45 37.0	3.6
129	NGC 253	00 47 32.86	−25 17 20.7	3.2
130	NGC 254	00 47 27.59	−31 25 18.4	17.1
131	NGC 255	00 47 47.19	−11 28 07.5	20
132	NGC 275	00 51 04.45	−07 03 55.6	21.9
133	NGC 289	00 52 42.22	−31 12 20.9	22.8
134	NGC 300	00 54 53.48	−37 41 03.8	1.9
135	NGC 337	00 59 49.98	−07 34 34.9	20.3
136	NGC 434	01 12 14.10	−58 14 52.5	65.7
137	NGC 578	01 30 28.56	−22 40 01.5	21.2
138	NGC 584	01 31 20.68	−06 52 04.6	19.5
139	NGC 596	01 32 51.85	−07 01 53.5	20.6
140	NGC 613	01 34 18.17	−29 25 06.1	24.9
141	NGC 615	01 35 05.67	−07 20 24.7	27
142	NGC 625	01 35 04.63	−41 26 10.3	3.6
143	NGC 636	01 39 06.52	−07 30 45.3	25.4
144	NGC 681	01 49 10.79	−10 25 34.7	33.6
145	NGC 685	01 47 42.81	−52 45 42.5	15.2
146	NGC 701	01 51 03.84	−09 42 09.7	22.5
147	NGC 720	01 53 00.46	−13 44 18.4	23.9
148	NGC 779	01 59 42.61	−05 57 51.2	18.2
149	NGC 782	01 57 40.33	−57 47 24.4	80.1
150	NGC 895	02 21 36.42	−05 31 16.3	29.6
151	NGC 908	02 23 04.51	−21 14 01.6	17.9
152	NGC 922	02 25 04.44	−24 47 17.2	50.7
153	NGC 936	02 27 37.39	−01 09 21.4	20.7
154	NGC 945	02 28 37.26	−10 32 20.5	58.2
155	NGC 958	02 30 42.76	−02 56 20.4	55.7
156	NGC 986	02 33 34.29	−39 02 42.1	17.2
157	NGC 988	02 35 27.69	−09 21 21.9	17.2
158	NGC 1022	02 38 32.70	−06 40 38.6	18.5
159	NGC 1042	02 40 23.95	−08 26 00.5	10.5
160	NGC 1052	02 41 04.79	−08 15 20.7	19.6
161	NGC 1068	02 42 40.65	−00 00 47.6	12.3
162	NGC 1079	02 43 44.29	−29 00 11.6	26.1
163	NGC 1084	02 45 59.85	−07 34 42.2	21.2
164	NGC 1087	02 46 25.23	−00 29 57.1	17.5
165	NGC 1090	02 46 33.88	−00 14 49.8	32.4
166	NGC 1097	02 46 18.97	−30 16 29.0	16.8
167	NGC 1172	03 01 36.01	−14 50 11.4	24.3
168	NGC 1179	03 02 38.46	−18 53 52.7	18.2
169	NGC 1187	03 02 37.52	−22 52 01.7	18
170	NGC 1199	03 03 38.37	−15 36 48.4	31.9
171	NGC 1201	03 04 07.97	−26 04 10.5	20.2
172	NGC 1209	03 06 02.97	−15 36 39.9	31.9
173	NGC 1232	03 09 45.51	−20 34 45.5	18.7
174	NGC 1249	03 10 01.24	−53 20 09.5	16.1
175	NGC 1253	03 14 09.06	−02 49 20.9	22.7
176	NGC 1255	03 13 31.94	−25 43 30.2	21.9
177	NGC 1291	03 17 18.54	−41 06 28.4	8.6
178	NGC 1292	03 18 14.82	−27 36 37.5	20.5
179	NGC 1300	03 19 40.98	−19 24 40.3	19.1
180	NGC 1302	03 19 51.16	−26 03 37.6	20
181	NGC 1309	03 22 06.52	−15 23 59.8	26
182	NGC 1313	03 18 16.05	−66 29 53.7	4
183	NGC 1316	03 22 41.63	−37 12 28.5	19.2
184	NGC 1317	03 22 44.23	−37 06 13.2	16.9
185	NGC 1325	03 24 25.53	−21 32 38.5	21.4
186	NGC 1326	03 23 56.29	−36 27 51.9	16.9
187	NGC 1332	03 26 17.19	−21 20 06.6	18.9
188	NGC 1337	03 28 05.87	−08 23 18.4	15.1
189	NGC 1339	03 28 06.53	−32 17 09.6	20.8
190	NGC 1340	03 28 19.59	−31 04 05.1	18.2
191	NGC 1350	03 31 08.04	−33 37 41.8	20.9
192	NGC 1351	03 30 34.91	−34 51 14.1	20.4
193	NGC 1353	03 32 02.96	−20 49 08.1	24.4
194	NGC 1357	03 33 17.02	−13 39 50.9	24.7
195	NGC 1365	03 33 36.37	−36 08 25.5	18.1
196	NGC 1367	03 35 01.33	−24 55 59.5	22.3
197	NGC 1374	03 35 16.57	−35 13 34.6	19.4
198	NGC 1379	03 36 03.96	−35 26 28.6	18.1
199	NGC 1380	03 36 27.58	−34 58 33.8	18
200	NGC 1381	03 36 31.63	−35 17 42.8	17.2
201	NGC 1385	03 37 28.28	−24 30 04.5	15.4
202	NGC 1386	03 36 46.15	−35 59 57.3	16.2
203	NGC 1387	03 36 56.98	−35 30 23.8	18
204	NGC 1389	03 37 11.73	−35 44 45.9	17.3
205	NGC 1395	03 38 29.67	−23 01 38.5	21.9
206	NGC 1398	03 38 52.01	−26 20 15.6	20.5
207	NGC 1399	03 38 28.99	−35 27 01.8	18.9
208	NGC 1400	03 39 30.79	−18 41 17.3	23.6
209	NGC 1404	03 38 51.89	−35 35 39.3	18.6
210	NGC 1407	03 40 11.80	−18 34 48.4	23.8
211	NGC 1411	03 38 44.84	−44 06 02.1	15.5
212	NGC 1415	03 40 56.81	−22 33 52.1	17.7
213	NGC 1417	03 41 57.38	−04 42 17.5	53.2
214	NGC 1421	03 42 29.28	−13 29 17.1	25.8
215	NGC 1425	03 42 11.45	−29 53 35.9	20.9
216	NGC 1426	03 42 49.04	−22 06 30.2	22.4
217	NGC 1427	03 42 19.43	−35 23 33.3	20.9
218	NGC 1433	03 42 01.48	−47 13 18.8	9.9
219	NGC 1436	03 43 37.04	−35 51 11.2	19.1
220	NGC 1439	03 44 49.88	−21 55 14.3	24.3
221	NGC 1448	03 44 31.95	−44 38 42.1	17.7
222	NGC 1452	03 45 22.29	−18 38 01.3	22.8
223	NGC 1453	03 46 27.19	−03 58 07.8	51.7
224	NGC 1461	03 48 27.10	−16 23 34.3	17.1
225	NGC 1487	03 55 44.79	−42 22 05.4	8.9
226	NGC 1493	03 57 27.39	−46 12 38.4	11.3
227	NGC 1494	03 57 42.26	−48 54 30.1	15.4
228	NGC 1507	04 04 27.16	−02 11 20.3	11.4
229	NGC 1511	03 59 37.45	−67 38 04.8	16.5
230	NGC 1512	04 03 54.13	−43 20 55.5	12.3
231	NGC 1515	04 04 02.53	−54 05 59.9	16.9
232	NGC 1518	04 06 49.21	−21 10 34.1	9.6
233	NGC 1521	04 08 18.88	−21 03 07.3	56.7
234	NGC 1527	04 08 24.05	−47 53 49.1	16.7
235	NGC 1531	04 12 04.35	−32 52 26.9	13
236	NGC 1532	04 12 04.33	−32 52 27.2	17.1
237	NGC 1533	04 09 51.79	−56 07 06.3	18.4
238	NGC 1537	04 13 40.63	−31 38 42.7	18.8
239	NGC 1543	04 12 43.11	−57 44 16.4	17.5
240	NGC 1546	04 14 36.34	−56 03 38.8	13.4
241	NGC 1549	04 15 45.06	−55 35 32.0	16.4
242	NGC 1553	04 16 10.45	−55 46 47.9	14.6
243	NGC 1559	04 17 35.75	−62 47 01.6	15.5
244	NGC 1566	04 20 00.39	−54 56 16.4	11.8
245	NGC 1574	04 21 58.68	−56 58 28.3	18.6
246	NGC 1596	04 27 38.08	−55 01 39.8	15.6
247	NGC 1600	04 31 39.82	−05 05 10.5	49.6
248	NGC 1617	04 31 39.35	−54 36 07.7	13.4
249	NGC 1637	04 41 28.14	−02 51 28.5	11
250	NGC 1640	04 42 14.49	−20 26 05.4	19.1
251	NGC 1667	04 48 37.14	−06 19 11.9	61.8
252	NGC 1672	04 45 42.42	−59 14 50.6	14.5
253	NGC 1679	04 49 55.03	−31 57 56.1	12.7
254	NGC 1688	04 48 23.76	−59 48 01.3	13.4
255	NGC 1700	04 56 56.26	−04 51 56.7	39.9
256	NGC 1703	04 52 52.07	−59 44 32.2	17.4
257	NGC 1705	04 54 13.45	−53 21 39.6	5.4
258	NGC 1723	04 59 25.86	−10 58 50.6	32.8
259	NGC 1726	04 59 41.85	−07 45 18.8	36.9
260	NGC 1744	04 59 57.70	−26 01 20.1	11
261	NGC 1784	05 05 27.07	−11 52 16.8	30
262	NGC 1792	05 05 14.42	−37 58 50.1	13.5
263	NGC 1796	05 02 42.42	−61 08 24.1	10.6
264	NGC 1808	05 07 42.28	−37 30 45.6	11.6
265	NGC 1832	05 12 03.32	−15 41 15.9	26.2
266	NGC 1888	05 22 34.40	−11 29 58.9	34.8
267	NGC 1892	05 17 09.05	−64 57 35.1	16.6
268	NGC 1947	05 26 47.40	−63 45 36.8	12.1
269	NGC 1954	05 32 48.30	−14 03 45.5	39.3
270	NGC 1964	05 33 21.57	−21 56 45.6	21.8
271	NGC 2082	05 41 51.07	−64 18 04.4	17.4
272	NGC 2090	05 47 01.85	−34 15 01.7	12.8
273	NGC 2139	06 01 07.94	−23 40 20.8	27.4
274	NGC 2188	06 10 10.07	−34 06 14.4	7.9
275	NGC 2196	06 12 09.63	−21 48 21.7	28.8
276	NGC 2207	06 16 22.00	−21 22 22.1	24.9
277	NGC 2217	06 21 39.72	−27 14 01.7	19.5
278	NGC 2223	06 24 35.89	−22 50 17.9	33.7
279	NGC 2272	06 42 41.24	−27 27 34.3	31.2
280	NGC 2280	06 44 49.03	−27 38 18.6	24
281	NGC 2292	06 47 39.64	−26 44 46.5	29.4
282	NGC 2293	06 47 42.80	−26 45 15.5	28.9
283	NGC 2305	06 48 37.25	−64 16 23.9	35.3
284	NGC 2310	06 53 53.95	−40 51 45.8	13.6
285	NGC 2325	07 02 40.37	−28 41 50.3	22.6
286	NGC 2380	07 23 54.61	−27 31 43.8	22.2
287	NGC 2397	07 21 19.92	−69 00 05.7	22.7
288	NGC 2417	07 30 12.08	−62 15 09.5	43.7
289	NGC 2427	07 36 28.57	−47 38 13.3	12
290	NGC 2434	07 34 51.14	−69 17 03.5	21.9
291	NGC 2442	07 36 23.82	−69 31 51.3	17.1
292	NGC 2525	08 05 38.02	−11 25 37.5	18.5
293	NGC 2559	08 17 06.08	−27 27 20.0	18.3
294	NGC 2566	08 18 45.56	−25 29 58.2	21.1
295	NGC 2613	08 33 22.76	−22 58 24.9	25.9
296	NGC 2640	08 37 24.52	−55 07 25.0	17.2
297	NGC 2663	08 45 08.14	−33 47 40.9	27.5
298	NGC 2695	08 54 27.04	−03 04 00.9	35
299	NGC 2698	08 55 36.47	−03 11 02.4	29.7
300	NGC 2708	08 56 08.05	−03 21 36.6	38
301	NGC 2763	09 06 49.03	−15 29 59.7	28.6
302	NGC 2781	09 11 27.49	−14 49 00.4	27.5
303	NGC 2784	09 12 19.40	−24 10 21.4	8.5
304	NGC 2811	09 16 11.08	−16 18 45.9	33.7
305	NGC 2815	09 16 19.74	−23 37 59.9	37.4
306	NGC 2822	09 13 50.48	−69 38 42.8	24.7
307	NGC 2835	09 17 52.82	−22 21 17.2	10.2
308	NGC 2848	09 20 09.87	−16 31 32.9	27.7
309	NGC 2855	09 21 27.47	−11 54 34.3	26.3
310	NGC 2865	09 23 30.19	−23 09 40.8	31.2
311	NGC 2889	09 27 12.58	−11 38 36.6	50.3
312	NGC 2907	09 31 36.58	−16 44 05.0	28.2
313	NGC 2935	09 36 44.82	−21 07 41.7	30.2
314	NGC 2947	09 36 05.82	−12 26 11.8	43.1
315	NGC 2974	09 42 33.27	−03 41 57.0	25.3
316	NGC 2983	09 43 41.09	−20 28 38.4	27.4
317	NGC 2986	09 44 16.02	−21 16 41.1	35.3
318	NGC 2997	09 45 38.79	−31 11 27.9	10.3
319	NGC 3001	09 46 18.65	−30 26 14.9	39.8
320	NGC 3038	09 51 15.47	−32 45 09.1	37.5
321	NGC 3052	09 54 27.92	−18 38 20.1	49.8
322	NGC 3054	09 54 28.58	−25 42 12.1	34.8
323	NGC 3056	09 54 32.86	−28 17 53.6	12.3
324	NGC 3059	09 50 08.43	−73 55 18.6	14.8
325	NGC 3078	09 58 24.58	−26 55 35.8	34.5
326	NGC 3087	09 59 08.67	−34 13 30.9	38.2
327	NGC 3091	10 00 14.13	−19 38 11.0	48.4
328	NGC 3095	10 00 05.84	−31 33 10.4	34.5
329	NGC 3100	10 00 40.81	−31 39 52.1	40.6
330	NGC 3108	10 02 29.01	−31 40 38.6	38.6
331	NGC 3109	10 03 10.69	−26 09 27.9	1.3
332	NGC 3115	10 05 13.91	−07 43 06.8	10.1
333	NGC 3124	10 06 39.88	−19 13 17.6	38.7
334	NGC 3136	10 05 48.05	−67 22 40.6	23.9
335	NGC 3137	10 09 07.42	−29 03 50.8	15.1
336	NGC 3145	10 10 09.86	−12 26 01.7	53.5
337	NGC 3175	10 14 42.32	−28 52 19.8	17.6
338	NGC 3200	10 18 36.50	−17 58 57.1	53.9
339	NGC 3223	10 21 35.07	−34 16 00.6	33.9
340	NGC 3250	10 26 32.28	−39 56 38.6	40
341	NGC 3256	10 27 51.20	−43 54 14.0	37.4
342	NGC 3258	10 28 53.51	−35 36 19.6	40.9
343	NGC 3261	10 29 01.47	−44 39 24.9	33.4
344	NGC 3263	10 29 13.38	−44 07 22.2	39.1
345	NGC 3268	10 30 00.66	−35 19 31.4	40.5
346	NGC 3271	10 30 26.49	−35 21 34.1	56.5
347	NGC 3275	10 30 51.75	−36 44 13.0	42.4
348	NGC 3281	10 31 52.06	−34 51 13.1	48.3
349	NGC 3283	10 31 11.60	−46 15 05.0	43.6
350	NGC 3309	10 36 35.65	−27 31 06.4	52.9
351	NGC 3311	10 36 42.82	−27 31 42.0	47.3
352	NGC 3312	10 37 02.53	−27 33 54.1	48.6
353	NGC 3313	10 37 25.45	−25 19 09.6	55.5
354	NGC 3318	10 37 15.49	−41 37 39.0	39
355	NGC 3347	10 42 46.61	−36 21 11.6	32.4
356	NGC 3358	10 43 33.02	−36 24 38.6	38.3
357	NGC 3366	10 35 08.27	−43 41 30.6	41.8
358	NGC 3390	10 48 04.35	−31 32 00.4	38
359	NGC 3450	10 48 03.63	−20 50 57.0	60.1
360	NGC 3511	11 03 23.87	−23 05 09.3	14.1
361	NGC 3513	11 03 46.04	−23 14 43.7	12.4
362	NGC 3521	11 05 48.54	−00 02 09.1	12.2
363	NGC 3557	11 09 57.62	−37 32 21.0	36
364	NGC 3568	11 10 48.58	−37 26 53.1	27.3
365	NGC 3585	11 13 17.09	−26 45 17.2	17.6
366	NGC 3621	11 18 16.54	−32 48 50.6	6.8
367	NGC 3660	11 23 32.26	−08 39 30.6	55.5
368	NGC 3672	11 25 02.44	−09 47 43.0	25.3
369	NGC 3673	11 25 12.86	−26 44 11.9	23.3
370	NGC 3706	11 29 44.42	−36 23 28.7	37.4
371	NGC 3717	11 31 31.97	−30 18 27.9	18.5
372	NGC 3763	11 36 30.17	−09 50 48.2	85.5
373	NGC 3783	11 39 01.73	−37 44 18.9	38.5
374	NGC 3882	11 46 06.46	−56 23 28.0	23.5
375	NGC 3885	11 46 46.45	−27 55 19.9	27.8
376	NGC 3887	11 47 04.59	−16 51 16.6	18.8
377	NGC 3892	11 48 01.04	−10 57 43.5	27.2
378	NGC 3904	11 49 13.22	−29 16 36.5	24.7
379	NGC 3923	11 51 01.73	−28 48 21.5	20.9
380	NGC 3936	11 52 20.57	−26 54 21.4	22.7
381	NGC 3955	11 53 57.16	−23 09 51.5	20.6
