Name	R.A. (J2000)^a	Decl. (J2000)^a	i^b	d_25^c	V_sun^d	D^e	Type^f	Nuclear	S_1.4 (ref)^g	L_FIR^h	SFR^i	log(M_T)^j	rho^k	
	(h m s)	(d m s)	(deg)	(')	(km s^-1)	(Mpc)		Type^a	(mJy)	(10^9 L_sun)	(M_sun yr^-1)	(log(M_sun))	(Mpc^-3)	
N 660	01^h43^m02.s40	+13^d38^m42.s2	77	7.2	856	12.3	SBa	HII,LINER	373 (A)	16.8	5.7	10.73	0.12	
N 891	02^h22^m33.s41	+42^d20^m56.s9	84	12.2	529	9.48	Sb	HII	286 (C)	12.1	4.7	11.19	0.55	
N 2613	08^h33^m22.s84	-22^d58^m25.s2	85	6.8	1679	23.4	Sb	HII	69 (B)	9.68	4.6	11.58	0.15	
N 2683	08^h52^m41.s35	+33^d25^m18.s5	79	9.1	415	6.27	Sb	LINER,Sy2	84 (B)	0.86	0.36	10.81	0.09	
N 2820	09^h21^m45.s58	+64^d15^m28.s6	90	4.1	1576	26.5	SBc		46.6 (A)	5.91	2.0	10.87	0.28	
N 2992	09^h45^m42.s00	-14^d19^m35.s0	90	4.4	2212	34.0	Sa	Sy1,Sy2	226 (A)	16.6	7.2	11.24	0.21	
N 3003	09^h48^m36.s05	+33^d25^m17.s4	90	6	1480	25.4	Sbc		30.4 (A)	3.87	1.5	10.75	0.64	
N 3044	09^h53^m40.s88	+01^d34^m46.s7	90	4.4	1335	20.3	SBc	HII	103 (A)	7.14	2.6	10.81	0.19	
N 3079	10^h01^m57.s80	+55^d40^m47.s3	88	7.7	1125	20.6	SBcd	LINER,Sy2	821 (C)	39.1	13	11.27	0.29	
N 3432	10^h52^m31.s13	+36^d37^m07.s6	82	4.9	611	9.42	SBm	LINER,HII	120 (B)	1.31	0.39	10.19	0.19	
N 3448	10^h54^m39.s24	+54^d18^m18.s8	78	4.9	1391	24.5	S0-a		51.3 (A)	6.65	2.1	10.95	0.24	
N 3556	11^h11^m30.s97	+55^d40^m26.s8	81	7.8	697	14.09	SBc	HII	217 (A)	12.5	4.9	10.78	0.15	
N 3628	11^h20^m17.s01	+13^d35^m22.s9	87	14.8	846	8.50	Sb	HII,LINER	470 (C)	6.99	2.3	11.17	0.39	
N 3735	11^h35^m57.s30	+70^d32^m08.s1	85	4	2696	42.0	Sc	Sy2	85.8 (A)	24.3	11	11.38	0.19	
N 3877	11^h46^m07.s80	+47^d29^m41.s2	85	5.1	894	17.7	Sc	HII	40.7 (A)	5.19	2.2	10.74	1.53	
N 4013	11^h58^m31.s38	+43^d56^m47.s7	84	4.7	835	16.0	Sb	HII,LINER	38.2 (A)	4.25	1.8	10.79	1.34	
N 4096	12^h06^m01.s13	+47^d28^m42.s4	82	6.4	577	10.32	SABc	HII	51.4 (A)	1.77	0.75	10.59	0.40	
N 4157	12^h11^m04.s37	+50^d29^m04.s8	90	7	771	15.6	SABb	HII	185 (A)	9.18	3.8	11.00	1.19	
N 4192	12^h13^m48.s29	+14^d54^m01.s2	83	8.7	-142	13.55 (V)	SABb	HII,Sy,LINER	23.0 (A)	3.3	1.49	11.15	1.44	
N 4217	12^h15^m50.s90	+47^d05^m30.s4	78	5.1	1028	20.6	Sb	HII	120 (A)	11.8	5.3	11.03	0.95	
N 4244	12^h17^m29.s66	+37^d48^m25.s6	90	15.8	247	3.30	Sc	HII	20.3 (C)	<0.03	<0.01	10.02	0.39	
N 4302	12^h21^m42.s48	+14^d35^m53.s9	89	4.7	1118	19.41 (V)	Sc	Sy,LINER	34.8 (A)	5.08	2.3	10.90	3.60	
N 4388	12^h25^m46.s75	+12^d39^m43.s5	79	5.6	2607	16.60 (V)	Sb	Sy2	119 (A)	4.71	2.6	10.94	1.56	
N 4438	12^h27^m45.s59	+13^d00^m31.s8	78	9.1	259	10.39 (V)	Sa	LINER	63.3 (A)	0.90	0.32	10.91	2.67	
N 4565	12^h36^m20.s78	+25^d59^m15.s6	90	16.2	1228	27.1	Sbc	Sy3,Sy1.9	134 (D)	15.7	7.9	11.80	1.00	
N 4594	12^h39^m59.s43	-11^d37^m23.s0	79	8.4	1127	12.7	Sa	LINER,Sy1.9	93.4 (A)	1.59	0.68	11.08	0.32	
N 4631	12^h42^m08.s01	+32^d32^m29.s4	85	14.7	613	7.55	SBcd		772 (C)	8.49	2.9	10.74	0.41	
N 4666	12^h45^m08.s59	-00^d27^m42.s8	76	4.2	1516	27.5	SABc	HII,LINER	434 (A)	53.8	20	11.13	0.54	
N 4845	12^h58^m01.s19	+01^d34^m33.s0	81	4.8	1228	16.98 (V)	Sab	HII,LINER	43.3 (A)	5.17	1.8	11.32	0.49	
N 5084	13^h20^m16.s92	-21^d49^m39.s3	90	12.5	1728	23.4	S0	poss.LINER	45.9 (A)	0.49	<0.21	11.91	0.29	
N 5297	13^h46^m23.s68	+43^d52^m20.s5	89	5.3	2404	40.4	SABc		23.0 (A)	8.09	3.9	11.28	0.79	
N 5775	14^h53^m58.s00	+03^d32^m40.s1	84	3.9	1582	28.9	Sbc		280 (A)	38.1	14	11.09	0.67	
N 5792	14^h58^m22.s71	-01^d05^m27.s9	81	7.2	1930	31.7	SBb	HII	51.8 (A)	17.2	6.4	11.47	0.52	
N 5907	15^h15^m53.s77	+56^d19^m43.s6	90	11.2	666	15.26	Sc	HII	50.5 (A)	5.56	2.7	11.32	0.26	
U10288	16^h14^m24.s80	-00^d12^m27.s1	90	4.9	2046	34.1	Sc		26.1 (A)	2.55	1.3	11.07	0.23	
