Galaxy	αJ2000.0	δJ2000.0	Distance‡
IC 10	00h20m17s.34	+59∘18′13′′.6	0.74
NGC 150	00h34m15s.48	−27∘48′12′′.9	24.2
NGC 157	00h34m46s.76	−08∘23′47′′.2	12.1
NGC 278	00h52m04s.31	+47∘33′01′′.8	15.9
NGC 337	00h59m50s.09	−07∘34′40′′.7	18.9
NGC 470	01h19m44s.85	+03∘24′35′′.8	41.3
NGC 520	01h24m35s.07	+03∘47′32′′.7	8.02
NGC 613	01h34m18s.170	−29∘25′06′′.10	26.4
NGC 628	01h36m41s.747	+15∘47′01′′.18	9.02
NGC 660	01h43m02s.400	+13∘38′42′′.20	13.6
NGC 701	01h51m03s.84	−09∘42′09′′.4	20.8
NGC 891	02h22m33s.41	+42∘20′56′′.9	9.12
NGC 1022	02h38m32s.705	−06∘40′38′′.74	18.5
NGC 1055	02h41m45s.23	+00∘26′35′′.4	20.3
NGC 1084	02h45m59s.908	−07∘34′42′′.48	20.9
NGC 1087	02h46m25s.164	−00∘29′55′′.14	14.9
NGC 1156	02h59m42s.300	+25∘14′16′′.20	7.6
NGC 1241	03h11m14s.64	−08∘55′19′′.7	61.4
UGC 2765	03h32m03s.41	+68∘22′06′′.2	19.5
NGC 1482	03h54m38s.965	−20∘30′09′′.65	19.6
UGCA 86	03h59m48s.30	+67∘08′18′′.6	2.98
IC 356	04h07m46s.91	+69∘48′44′′.8	21.6
NGC 1530	04h23m27s.10	+75∘17′44′′.1	20.4
NGC 1569	04h30m49s.059	+64∘50′52′′.60	3.25
NGC 2146	06h18m37s.71	+78∘21′25′′.3	27.7
NGC 2273	06h50m08s.6575	+60∘50′44′′.901	31.6
NGC 2339	07h08m20s.54	+18∘46′48′′.9	36.6
NGC 2268	07h14m17s.44	+84∘22′56′′.2	30.6
NGC 2276	07h27m14s.36	+85∘45′16′′.4	36.8
NGC 2633	08h48m04s.58	+74∘05′55′′.9	29.1
NGC 2681	08h53m32s.740	+51∘18′49′′.22	16.4
NGC 2742	09h07m33s.53	+60∘28′45′′.6	27.8
NGC 2715	09h08m06s.20	+78∘05′06′′.6	17.5
NGC 2775	09h10m20s.12	+07∘02′16′′.6	17
NGC 2748	09h13m43s.02	+76∘28′31′′.2	19.8
NGC 2782	09h14m05s.1124	+40∘06′49′′.316	15.7
NGC 2841	09h22m02s.634	+50∘58′35′′.47	14.6
NGC 2903	09h32m10s.11	+21∘30′03′′.0	9.46
NGC 2967	09h42m03s.295	+00∘20′11′′.18	22.2
NGC 2976	09h47m15s.46	+67∘54′59′′.0	3.63
NGC 2985	09h50m22s.23	+72∘16′43′′.1	22.4
NGC 3034	09h55m52s.725	+69∘40′45′′.78	3.53
NGC 3079	10h01m57s.8034	+55∘40′47′′.242	20.6
NGC 3077	10h03m19s.07	+68∘44′02′′.1	3.81
NGC 3166	10h13m45s.778	+03∘25′29′′.89	22
NGC 3169	10h14m15s.0502	+03∘27′57′′.875	23.2
NGC 3177	10h16m34s.136	+21∘07′22′′.99	24.1
NGC 3147	10h16m53s.6509	+73∘24′02′′.695	39.3
NGC 3198	10h19m54s.952	+45∘32′58′′.64	13.4
Mrk 33	10h32m31s.997	+54∘24′02′′.05	24.9
NGC 3310	10h38m45s.860	+53∘30′12′′.18	11.6
NGC 3338	10h42m07s.540	+13∘44′49′′.20	23.7
NGC 3344	10h43m31s.15	+24∘55′20′′.0	9.82
NGC 3351	10h43m57s.700	+11∘42′13′′.70	10.7
NGC 3367	10h46m34s.954	+13∘45′03′′.09	30.8
NGC 3359	10h46m36s.863	+63∘13′27′′.25	20.8
NGC 3368	10h46m45s.740	+11∘49′11′′.80	9.9
NGC 3370	10h47m04s.051	+17∘16′25′′.04	25.6
NGC 3437	10h52m35s.75	+22∘56′02′′.9	25.1
NGC 3471	10h59m09s.012	+61∘31′50′′.46	24.2
NGC 3521	11h05m48s.5810	−00∘02′09′′.110	14.2
NGC 3556	11h11m30s.97	+55∘40′26′′.8	10
NGC 3583	11h14m10s.890	+48∘19′06′′.67	27.9
NGC 3627	11h20m14s.964	+12∘59′29′′.54	9.04
NGC 3628	11h20m16s.970	+13∘35′22′′.86	10.3
NGC 3655	11h22m54s.617	+16∘35′24′′.11	38.4
NGC 3672	11h25m02s.47	−09∘47′43′′.4	27.4
NGC 3675	11h26m08s.58	+43∘35′09′′.3	19.6
NGC 3686	11h27m43s.970	+17∘13′27′′.06	15.9
NGC 3810	11h40m58s.760	+11∘28′16′′.10	16.4
NGC 3813	11h41m18s.657	+36∘32′48′′.50	23.3
NGC 3888	11h47m34s.370	+55∘58′02′′.00	39.7
NGC 3893	11h48m38s.19	+48∘42′39′′.0	15.7
NGC 3938	11h52m49s.45	+44∘07′14′′.6	17.9
NGC 3949	11h53m41s.720	+47∘51′31′′.34	19.1
UGC 6973	11h58m52s.201	+42∘43′20′′.91	23.4
NGC 4027	11h59m30s.17	−19∘15′54′′.8	19.6
NGC 4030	12h00m23s.627	−01∘06′00′′.34	29.9
NGC 4041	12h02m12s.202	+62∘08′14′′.00	30.2
NGC 4045	12h02m42s.238	+01∘58′36′′.51	33.7
NGC 4085	12h05m22s.710	+50∘21′10′′.63	20.8
NGC 4088	12h05m34s.19	+50∘32′20′′.5	14.5
NGC 4214	12h15m39s.17	+36∘19′36′′.8	2.93
NGC 4258	12h18m57s.5046	+47∘18′14′′.303	7.31
NGC 4303	12h21m54s.895	+04∘28′25′′.13	16.5
NGC 4433	12h27m38s.59	−08∘16′42′′.3	44.1
NGC 4527	12h34m08s.421	+02∘39′13′′.19	16.5
NGC 4536	12h34m27s.050	+02∘11′17′′.29	16.5
NGC 4559	12h35m57s.647	+27∘57′35′′.97	7.31
NGC 4579	12h37m43s.5220	+11∘49′05′′.498	16.5
NGC 4605	12h39m59s.38	+61∘36′33′′.1	5.55
NGC 4602	12h40m36s.85	−05∘07′58′′.8	37.8
NGC 4632	12h42m32s.03	−00∘04′57′′.4	14.4
NGC 4666	12h45m08s.591	−00∘27′42′′.79	14.7
NGC 4750	12h50m07s.271	+72∘52′28′′.72	26.1
NGC 4753	12h52m22s.11	−01∘11′58′′.9	24.5
NGC 4818	12h56m48s.90	−08∘31′31′′.1	11.9
