_RAJ2000	_DEJ2000	Dist
deg	deg	Mpc
-----------	-----------	-----------
54.8054167	-35.3714444	18.85
192.53225	-41.398	36.6
200.4475	-45.0616667	3.96
29.0500417	5.5885833	10.8
180.4715417	-18.8771944	21.5
222.3774167	-10.1733056	28.8
192.165375	-41.2682222	44.2
192.41725	-41.3661944	37.7
192.4833333	-41.4012222	37.3
213.2914583	-65.3392222	4.21
204.543	-9.8018333	22.7
260.051625	57.9153611	0.093
44.2123333	58.9107778	5.3
93.9757917	-57.7254444	6.08
243.7660833	-60.90725	41.6
254.7622917	-60.2160278	14.7
302.3567083	-48.2847778	47.1
1.5829583	-41.4999167	34
192.2672917	-41.339	47.7
192.4076667	-41.3882222	30.5
109.130125	-29.3247222	23.2
121.7858333	-28.0523333	15.7
335.8192083	-28.9809722	22.1
129.0632917	-26.4093611	8.23
192.8827083	-26.4521389	40.2
54.269	-35.5906111	19.4
54.58025	-35.1290833	17.55
54.5896667	-35.2594722	21.8
54.656875	-35.7576111	19.3
159.1916667	-27.5236389	38.8
192.2245833	-41.3191667	32.8
159.2190417	-27.5378611	38.5
159.2037917	-27.5004167	34.3
159.1904167	-27.5089167	36.7
159.2508333	-27.4981667	37.2
149.3833333	69.0458333	3.77
5.07225	59.3037778	0.83
36.6177083	1.1604167	20.9
39.1159583	38.9690556	14.2
56.702125	68.0961111	3.39
74.4963333	68.3235833	16.5
179.6415833	42.7340833	45.2
179.717625	42.7224167	27.8
188.1391667	15.4155	16.1
190.5360833	11.7542778	16.1
278.4690417	49.2786111	31.5
344.2945417	-36.4624722	30.4
16.199125	2.1177778	0.859
26.8745417	27.3333611	7.45
94.1167083	-21.3758611	35.4
154.0777917	-33.5638333	46.9
157.0978333	68.4121389	4.02
182.34275	13.9924167	17.1
182.5962083	10.1885556	19.2
182.7823333	14.2748056	14.9
183.80225	14.4328611	16.5
184.331875	11.9434722	17.9
186.2015417	18.1950833	15.8
186.4915	10.0537222	18
187.061875	11.7899167	19
187.0513333	10.2976667	16.2
187.834125	14.1151944	16.9
188.0114167	11.8900833	16.8
188.0236667	11.8179167	17
188.0592083	10.2515556	21.3
188.0972917	11.2632222	16.1
188.308375	12.8578333	15.9
188.306	9.3973611	16.2
188.3079167	10.9285278	18.2
