ID	Name	Distance
1	UGC12894	8.2
2	WLM	0.92
3	ESO409-IG015	10.4
4	ESO349-G031	3.21
5	NGC24	8.1
6	NGC45	7.1
7	NGC55	2.1
8	NGC59	5.3
9	MCG-04-02-003	9.8
10	IC10	0.66
11	ESO473-G024	8
12	AndIV	6.11
13	NGC224	0.79
14	IC1574	4.92
15	NGC247	3.52
16	NGC253	3.44
17	UGCA15	3.31
18	SMC	0.06
19	NGC300	2
20	LGS3	0.62
21	UGC668	0.65
22	UGC685	4.7
23	UGC695	10.2
24	UGC891	10.8
25	UGC1056	10.3
26	UGC1104	7.5
27	NGC598	0.84
28	NGC625	4.07
29	NGC628	7.3
30	UGC1176	9
31	UGCA20	9
32	ESO245-G005	4.43
33	UGC1249	7.2
34	NGC672	7.2
35	UGC1281	5.13
36	ESO245-G007	0.44
37	NGC784	5.19
38	UGC1561	10.5
39	NGC855	9.7
40	UGC1807	9.2
41	NGC891	9.2
42	UGC1865	9.2
43	NGC925	9.16
44	UGC1924	10.4
45	NGC949	9.2
46	NGC959	9.2
47	UGC2014	9.2
48	UGC2023	9.2
49	UGC2034	9.2
50	ESO115-G021	4.99
51	NGC1003	9.2
52	Maffei2	3.3
53	NGC1058	9.2
54	UGC2259	9.2
55	ESO154-G023	5.76
56	NGC1156	7.8
57	ESO300-G014	11
58	ESO300-G016	7.8
59	NGC1291	9.4
60	NGC1313	4.15
61	NGC1311	5.45
62	UGC2684	6.5
63	UGC2689	5.9
64	UGC2716	6.2
65	IC1959	6.06
66	UGC2847	3.03
67	IC2000	10.7
68	ESO302-G014	9.6
69	NGC1487	9.1
70	ESO249-G036	9.6
71	UGCA86	2.96
72	NGC1510	9.8
73	NGC1512	9.6
74	NGC1522	9.3
75	NGC1518	10.8
76	ESO483-G013	10.4
77	NGC1556	10.5
78	UGCA90	10.4
79	NGC1592	10.6
80	NGC1569	3.36
81	UGCA92	1.8
82	NGC1560	3.45
83	ESO158-G003	10
84	UGC3174	8.1
85	ESO119-G016	9.8
86	NGC1705	5.1
87	ESO252-IG001	6
88	NGC1744	7.7
89	NGC1796	10.3
90	ESO486-G021	8.9
91	MCG-05-13-004	6.6
92	NGC1800	8.2
93	NGC1808	10.6
94	ESO305-G009	10.9
95	UGCA103	10.4
96	UGCA106	9.8
97	UGCA105	3.15
98	LMC	0.05
99	UGC3303	7.2
100	ESO553-G046	5
101	ESO306-G013	10.8
102	UGCA114	9.8
103	UGCA116	9.1
104	KKH34	4.61
105	ESO364-G?029	7.4
106	AM0605-341	7
107	NGC2188	6.8
108	UGCA120	8.7
109	UGCA127	7.5
110	UGC3475	7
111	ESO255-G019	10.4
112	KKH37	3.26
113	ESO207-G007	10.7
114	UGC3600	7.3
115	AM0704-582	4.9
116	NGC2337	7.9
117	UGC3817	8.6
118	UGC3860	7.81
119	NGC2366	3.21
120	UGC3876	10.8
121	ESO059-G001	4.57
122	NGC2427	9
123	NGC2403	3.22
124	UGC3966	6.8
125	UGC3974	8.04
126	CGCG262-028	6.9
127	UGC4115	7.72
128	NGC2500	7.6
129	NGC2537	6.9
130	UGC4278	7.6
131	UGC4305	3.38
132	NGC2552	7.7
133	M81dwA	3.44
134	SDSSJ0825+3532	9.3
135	UGC4426	10.28
136	UGC4459	3.61
137	ESO495-G021	7.8
138	UGC4483	3.41
139	NGC2683	7.7
140	UGC4704	7.8
141	LSBCD564-08	8.67
142	UGC4787	6.5
143	LSBCD634-03	9.46
144	UGCA148	9.8
145	NGC2784	9.8
146	UGCA153	6.5
147	NGC2835	8
148	LSBCD565-06	9.08
149	UGCA162	7.5
150	UGC4998	10.5
151	NGC2915	3.78
152	NGC2903	8.9
153	UGC5076	8.3
154	CGCG035-007	5.2
155	LeoT	0.42
156	UGC5151	10.7
157	UGC5139	3.9
158	IC559	4.9
159	UGC5209	6.4
160	NGC2976	3.56
161	UGC5272b	7.1
162	UGC5272	7.1
163	UGC5288	6.8
164	NGC3037	7.9
165	BK3N	3.86
166	NGC3031	3.63
167	NGC3034	3.37
168	UGC5340	5.9
169	KDG61	3.49
170	UGC5336	3.61
171	ESO435-G016	9.1
172	ESO435-IG020	9
173	UGC5364	0.69
174	UGC5373	1.39
175	UGCA193	9.7
176	NGC3109	1.28
177	NGC3077	3.83
178	UGCA196	8.8
179	NGC3113	10.5
180	UGC5427	7.1
181	UGC5428	3.53
182	NGC3115	9.7
183	UGC5423	5.3
184	NGC3125	10.8
185	UGC5453	9.3
186	UGC5451	8.7
187	UGC5456	3.8
188	KUG1004+392	7.8
189	NGC3137	10.8
190	SextansA	1.32
191	NGC3175	10.7
192	NGC3239	8.3
193	UGC5672	6.3
194	UGC5666	3.81
195	UGC5692	3.8
196	NGC3274	6.5
197	UGC5740	9.3
198	UGCA212	10.1
199	NGC3299	10.4
200	UGC5764	7.1
201	UGC5797	6.8
202	IC625	10.1
203	UGC5829	7.9
204	NGC3344	6.6
205	NGC3351	10
206	NGC3365	10.5
207	NGC3368	10.52
208	UGC5889	9.3
209	UGC5917	10.3
210	UGC5923	7.2
211	UGC5918	7.4
212	NGC3412	10.4
213	ESO376-G022	9
214	NGC3432	7.9
215	KDG73	4.03
216	NGC3489	10.4
217	NGC3486	8.2
218	UGC6102	8.5
219	NGC3510	8.6
220	ESO377-G003	9.2
221	MRK36	7.8
222	NGC3521	8
223	UGC6161	10.3
224	MESSIER108	10.4
225	NGC3593	6.5
226	NGC3599	9.6
227	NGC3600	9.7
228	NGC3621	6.64
229	NGC3623	8.9
230	NGC3627	10.05
231	NGC3628	9.4
232	IC2782	9.7
233	IC2787	7.7
234	NGC3675	10.6
235	UGC6457	10.2
236	UGC6456	4.34
237	UGC6541	3.89
238	NGC3738	4.9
239	NGC3741	3.24
240	LEDA166115	4.51
241	UGC6817	2.59
242	UGC6900	7.5
243	BTS76	6
244	NGC4020	9.7
245	UGC7007	10.1
246	NGC4068	4.31
247	NGC4080	6.9
248	NGC4096	8.3
249	KUG1207+367	4.5
250	NGC4144	9.8
251	NGC4163	2.87
252	NGC4190	3.5
253	UGC7242	5.42
254	UGCA276	2.95
255	NGC4204	10.4
256	UGC7267	7.3
