UGC	Other IDs	Type d_T88	d_best	d_best	v_sys	i	D_25	M_B	v_rot	SFR	SFR
1256	NGC 0672	SBcd	7.5	7.6	2	425	70	6.4	–18.65	130.7	0.22	H1, I2
1831	NGC 0891	SAb	9.6	9.2	1	529	84	12.2	–19.96	212.2	2.4	H1, I4
1913	NGC 0925	SABd	9.4	9.1	1	554	54	11.3	–19.66	102.4	0.83	H1, I4
1983	NGC 0949	SAd	10.3	11.3	2	610	52	3.5	–17.85	90.9	0.26	H1, I1
2082	−	SAc	10.7	14.4	3	710	89	5.8	–18.55	86.6	0.023	−, I1
2137	NGC 1003	SAcd	10.7	11.6	3	626	67	6.3	–18.61	95.5	0.34	H1, I2
3918	NGC 2403	SAcd	4.2	3.2	1	132	62	23.8	–19.68	121.9	1.0	H1, I4
4278	IC 2233	SAd	10.6	13.6	3	565	90	4.3	–17.45	79.2	0.11	H1, I5
4284	NGC 2541	SAcd	10.6	12.0	1	553	67	7.2	–18.37	92.1	 <0.27a	H2, I2
5572	NGC 3198	SBc	10.8	14.5	1	660	71	8.8	–19.62	148.2	0.61	H2, I4
7045	NGC 4062	SAc	9.7	16.9	3	769	68	4.5	–18.27	140.5	0.22	H2, I2
7322	NGC 4244	SAcd	3.1	4.4	1	247	90	15.8	–17.60	89.0	0.058	H1, I5
7353	NGC 4258 (M 106)	SABbc	6.8	7.6	1	449	71	17.1	–20.59	208.0	1.4	H1,I3
7377	NGC 4274	SBab	9.7	19.4	3	922	72	6.5	–19.22	239.9	0.31	H3, I2
7539	NGC 4414	SAc	9.7	17.8	1	720	50	4.5	–19.12	224.7	1.3	H2, I4
7591b	NGC 4448	SBab	9.7	9.7	4	693	71	3.8	–18.43	221.6	0.056	−, I2
7766	NGC 4559	SABcd	9.7	7.9	3	816	69	11.3	–20.07	113.4	1.1	H4, I4
7772	NGC 4565	SAb	9.7	10.8	2	1228	90	16.2	–20.34	244.9	0.54	H5, I4
7774b	−	SAd	6.8	24.4	3	526	90	3.5	–15.57	79.4	0.0074	H1, I5
7865	NGC 4631	SBd	6.9	7.6	1	613	85	14.7	–20.12	138.9	2.1	H1, I4
8286	NGC 5023	SAc	6.0	6.6	1	400	90	6.8	–17.29	80.3	0.032	H1, I5
8334	NGC 5055 (M 63)	SAbc	7.2	8.5	3	497	55	13.0	–20.14	215.5	1.5	H1, I4
8550	NGC 5229	SBc	6.4	5.1	2	365	90	3.5	–15.82	57.3	0.014	H1, I5
9179	NGC 5585	SABd	7.0	8.7	2	303	51	5.5	–17.96	79.1	0.26	H1, I1
