ID	RA	DEC	Dist. (Mpc)
1	36.820333	33.579167	7.3
2	140.510975	50.976519	9.2
3	146.814417	67.916389	3.4
4	154.570257	41.424054	14.1
5	154.978966	45.549623	8.9
6	166.452421	-0.035864	3.8
7	183.913208	36.326889	3.6
8	308.718015	60.153915	11.1
9	339.266724	34.415519	13.8
10	193.521875	27.149639	4
11	24.173946	15.783662	10.1
12	124.77075	70.720028	10.7
13	143.042125	21.500833	2.9
14	145.146278	71.179555	4.7
15	157.097833	68.412139	4.3
16	160.990417	11.703806	10.1
17	192.721088	41.120458	5.9
18	198.955542	42.029278	14.7
