Name [AGN type] (1)	RA (J2000) (2)	Dec (J2000) (3)	DL (Mpc) (4)	NUV (AB) (5)	Past SNe (6)
NGC 289	00:52:42.348	−31:12:20.92	24.0	-18.77	
NGC 337 [LIN]	00:59:50.100	−07:34:41.45	23.0	-18.64	1998dn, 2011dq, 2014cx
NGC 488	01:21:46.836	+05:15:24.48	38.0	-18.88	1976G, 2010eb
NGC 895	02:21:36.468	−05:31:17.00	37.0	-19.02	2003id
NGC 1097 [LIN]	02:46:19.092	−30:16:29.89	14.0	-18.55	1992bd, 1999eu, 2003B
NGC 1309	03:22:06.600	−15:24:00.07	29.0	-19.04	2002fk, 2012Z
NGC 1365 [S1.5]	03:33:36.396	−36:08:25.84	18.0	-19.33	1957C, 1983V, 2001du, 2012fr
UGC 2855	03:48:20.736	+70:07:58.30	14.0	-18.75	2014dg
NGC 1672 [S2]	04:45:42.516	−59:14:50.42	19.0	-19.34	2017gax
NGC 2207/IC 2163a	06:16:22.044	−21:22:21.76	38.0	-20.32	1975A, 1999ec, 2003H, 2010jp, 2013ai, 2018lab
NGC 2336 [S2]	07:27:04.068	+80:10:41.02	29.0	-18.83	1987L
NGC 2442 [LIN]	07:36:23.796	−69:31:50.70	21.0	-19.20	1999ga, 2015F
NGC 2775	09:10:20.100	+07:02:17.23	43.0	-18.69	1993Z
NGC 2776	09:12:14.508	+44:57:17.53	41.0	-19.34	
NGC 2782 [oLLAGN]	09:14:05.064	+40:06:49.57	41.0	-18.76	1994ak
NGC 2993/2992 [S2]a	09:45:48.312	−14:22:06.17	34.0	-18.85	2003ao, AT2017ejx
IC 2537	10:03:51.876	−27:34:14.81	36.0	-18.40	2010lm
NGC 3147 [S2]	10:16:53.688	+73:24:02.63	40.0	-19.29	1972H, 1997bq, 2006gi, 2008fv
NGC 3169 [LIN]	10:14:14.892	+03:27:58.86	45.0	-19.25	1984E, 2003cg
NGC 3183	10:21:48.960	+74:10:37.16	49.0	-18.56	
NGC 3244	10:25:28.848	−39:49:39.00	38.0	-18.63	2010ev
NGC 3294	10:36:16.236	+37:19:28.63	30.0	-18.43	1990H, 1992G
NGC 3344	10:43:31.116	+24:55:19.74	20.0	-19.42	2012fh
NGC 3367 [S2]	10:46:35.004	+13:45:02.09	45.0	-19.84	1986A, 1992C, 2003aa, 2007am, 2018kp
NGC 3359	10:46:36.840	+63:13:26.83	23.0	-19.07	1985H
NGC 3445	10:54:35.712	+56:59:23.32	33.0	-18.55	
NGC 3629	11:20:31.776	+26:57:47.84	38.0	-18.55	
NGC 3646	11:21:43.092	+20:10:11.10	44.0	-19.47	1989N, 1999cd
NGC 3938	11:52:49.368	+44:07:14.88	19.0	-18.87	1961L, 1964I, 2005ay, 2017ein
NGC 4030	12:00:23.580	−01:06:00.00	27.0	-19.11	2007aa
NGC 4038 (Arp 244)	12:01:53.004	−18:52:04.76	21.0	-19.40	1921A, 1974E, 2004gt, 2007sr, 2013dk
NGC 4039 (Arp 244)	12:01:53.616	−18:53:11.11	21.0	-19.39	
NGC 4108	12:06:44.316	+67:09:46.12	41.0	-18.50	ASASSN-15lf
NGC 4254 (M 99) [LIN]	12:18:49.572	+14:24:59.08	16.0	-19.03	1967H, 1972Q, 1986I, 2014L
NGC 4303 (M 61) [S2]	12:21:54.936	+04:28:27.05	18.0	-19.54	1926A, 1961I, 1964F, 1999gn, 2006ov, 2008in, 2014dt
NGC 4314 [LIN]	12:22:31.980	+29:53:43.48	44.0	-18.46	1954A
NGC 4321 (M 100) [LIN]	12:22:54.768	+15:49:18.80	14.0	-18.65	2006X
NGC 4500	12:31:22.152	+57:57:52.81	48.0	-18.47	
NGC 4653	12:43:50.916	−00:33:40.54	39.0	-18.66	1999gk, 2009ik
NGC 4814	12:55:21.936	+58:20:38.80	40.0	-18.53	
NGC5194 [S2]/5195a (M51)	13:29:52.692	+47:11:42.54	8.4	-19.03	1945Ab, 1994I, 2005cs, 2011dh
