Set	Name	Nobs	RAJ2000	DEJ2000	VMag	e_VMag	E_VMag	rh	e_rh	E_rh	ell	e_ell	m-M	e_m-M	E_m-M	Mass	[Fe/H]	e_[Fe/H]	E_[Fe/H]	Type	B15	SimbadName	NED
 	 	 	"h:m:s"	"d:m:s"	mag	mag	mag	 	 	 	 	 	mag	mag	mag	Msun	Sun	Sun	Sun	 	 	 	
---	----------	---	----------	---------	------	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	---------	-----	-----	----	------	---	---------------------	---
And	And I     	 13	00 45 39.8	+38 02 28	-11.70	 0.10	     	 3.20	 0.30	     	 0.22	 0.04	24.41	 0.05	     	  3.90000	-1.45	 0.04	    	dSph  	  1	And I                	NED
And	And II    	 12	01 16 29.8	+33 25 09	-12.40	 0.20	     	 6.20	 0.20	     	 0.20	 0.08	24.07	 0.06	     	  7.60000	-1.64	 0.04	    	dSph  	  1	And II               	NED
And	And III   	 13	00 35 33.8	+36 29 52	-10.00	 0.30	     	 2.20	 0.20	     	 0.52	 0.02	24.37	 0.07	     	  0.83000	-1.78	 0.04	    	dSph  	  1	And III              	NED
And	And V     	 13	01 10 17.1	+47 37 41	 -9.10	 0.20	     	 1.40	 0.20	     	 0.18	 0.05	24.44	 0.08	     	  0.39000	-1.60	 0.30	    	dSph  	  1	And V                	NED
And	And VI    	 13	23 51 46.3	+24 34 57	-11.30	 0.20	     	 2.30	 0.20	     	 0.41	 0.03	24.47	 0.07	     	  2.80000	-1.30	 0.14	    	dSph  	  1	And VI               	NED
And	And VII   	 15	23 26 31.7	+50 40 33	-12.60	 0.30	     	 3.50	 0.10	     	 0.13	 0.04	24.41	 0.10	     	  9.50000	-1.40	 0.30	    	dSph  	  1	And VII              	NED
And	And IX    	 13	00 52 53.0	+43 11 45	 -8.10	 1.10	     	 2.50	 0.10	     	     	     	24.42	 0.07	     	  0.15000	-2.20	 0.20	    	dSph  	  1	And IX               	NED
And	And X     	 13	01 06 33.7	+44 48 16	 -7.60	 1.00	     	 1.30	 0.10	     	 0.44	 0.06	24.23	 0.21	     	  0.09600	-1.93	 0.11	    	dSph  	  1	And X                	NED
And	And XI    	 13	00 46 20.0	+33 48 05	 -6.90	 1.30	     	 0.71	 0.03	     	     	     	24.40	 0.50	 0.20	  0.04900	-2.00	 0.20	    	dSph  	  1	And XI               	NED
And	And XII   	 12	00 47 27.0	+34 22 29	 -6.40	 1.20	     	 1.20	 0.20	     	     	     	24.70	 0.30	     	  0.03100	-2.10	 0.20	    	dSph  	  1	And XII              	NED
And	And XIII  	 12	00 51 51.0	+33 00 16	 -6.70	 1.30	     	 0.78	 0.08	     	     	     	24.80	 0.40	 0.10	  0.04100	-1.90	 0.20	    	dSph  	  1	And XIII             	NED
And	And XIV   	 10	00 51 35.0	+29 41 49	 -8.40	 0.60	     	 1.70	 0.80	     	 0.31	 0.09	24.33	 0.33	     	  0.20000	-2.26	 0.05	    	dSph  	  1	And XIV              	NED
And	And XV    	 10	01 14 18.7	+38 07 03	 -9.40	 0.40	     	 1.21	 0.05	     	 0.00	     	24.00	 0.20	     	  0.49000	-1.80	 0.20	    	dSph  	  1	And XV               	NED
And	And XVI   	 10	00 59 29.8	+32 22 36	 -9.20	 0.40	     	 0.89	 0.05	     	 0.00	     	23.60	 0.20	     	  0.41000	-2.10	 0.20	    	dSph  	  1	And XVI              	NED
And	And XVII  	 12	00 37 07.0	+44 19 20	 -8.70	 0.40	     	 1.24	 0.08	     	 0.27	 0.06	24.50	 0.10	     	  0.26000	-1.90	 0.20	    	dSph  	  1	And XVII             	NED
And	And XVIII 	  8	00 02 14.5	+45 05 20	 -9.70	 0.10	     	 0.92	 0.06	     	     	     	25.66	 0.13	     	  0.63000	-1.80	 0.10	    	dSph  	  1	And XVIII            	NED
And	And XIX   	 12	00 19 32.1	+35 02 37	 -9.20	 0.60	     	 6.20	 0.10	     	 0.17	 0.02	24.85	 0.13	     	  0.43000	-1.90	 0.10	    	dSph  	  1	And XIX              	NED
And	And XX    	 13	00 07 30.7	+35 07 56	 -6.30	 0.80	 1.10	 0.53	 0.04	 0.14	 0.30	 0.15	24.52	 0.24	 0.74	  0.02900	-1.50	 0.10	    	dSph  	  1	And XX               	NED
And	And XXI   	 17	23 54 47.7	+42 28 15	 -9.90	 0.60	     	 3.50	 0.30	     	 0.20	 0.07	24.67	 0.13	     	  0.76000	-1.80	 0.20	    	dSph  	  1	And XXI              	NED
And	And XXII  	  5	01 27 40.0	+28 05 25	 -6.50	 0.80	     	 0.94	 0.10	     	 0.56	 0.11	24.82	 0.31	 0.07	  0.03400	-1.80	     	    	dSph  	  1	And XXII             	NED
And	M 110     	  4	00 40 22.1	+41 41 07	-16.50	 0.10	     	 2.46	 0.10	     	 0.43	 0.10	24.58	 0.07	     	330.00000	-0.80	 0.20	    	dE    	  0	M110                 	NED
And	M 32      	  5	00 42 41.8	+40 51 55	-16.40	 0.20	     	 0.47	 0.05	     	 0.25	 0.02	24.53	 0.21	     	320.00000	-0.25	     	    	dE    	  0	M32                  	NED
