LEGUS Target	RA	DEC	Morphology	Distance (Mpc)
NGC 1291	17:23.1	-41:06:26.7	SBa	10.4
NGC1433	42:01.0	-47:13:26.5	SBab	8.3
NGC1510	03:34.1	-43:23:54.9	SA0 pec	11.7
NGC1512	03:54.7	-43:21:03.3	SBab	11.6
ESO486-G021	03:19.7	-25:25:22.6	S?	9.5
NGC3368	46:45.7	+11:49:11.8	SABab	10.5
NGC4594	40:08.3	-11:37:27.2	SAa	9.1
NGC1566	20:00.5	-54:56:13.8	SABbc	13.2
NGC3351	43:57.8	42:12.9	SBb	10
NGC3627	20:14.9	57:37.7	SABb	10.1
NGC4248	17:49.9	+47:24:33.1	S?	7.8
NGC4258	18:57.4	+47:18:30.1	SABbc	7.98
IC4247	26:43.4	-30:21:40.8	S?	5.11
NGC5195	30:01.2	16:13.2	I0 pec	7.66
UGC695	07:46.4	+01:03:49.2	Sc	10.9
NGC628	36:39.7	46:35.8	SAc	9.9
IC559	44:43.9	+09:36:54.0	Sc	5.3
NGC3344	43:31.2	55:20.0	SABbc	7
NGC4605	39:59.7	36:32.2	SBc	5.7
NGC5194	29:57.7	13:59.5	SAbc	7.66
NGC5457	03:11.7	21:31.3	SABcd	6.7
NGC5949	28:00.7	+64:45:47.5	SAbc	14.3
NGC6503	49:23.1	09:03.9	SAcd	5.27
NGC6744	09:46.0	-63:51:21.2	SABbc	7.1
NGC45	14:00.4	-23:10:03.4	SAdm	6.61
NGC1313	18:30.1	-66:28:45.0	SBd	4.39
NGC2500	01:53.1	44:21.3	SBd	10.1
NGC3274	32:17.3	40:08.0	SABd	6.55
UGC7242	14:09.2	04:45.1	Scd	5.42
NGC4242	17:30.0	37:11.4	SABdm	5.8
NGC4490	30:36.1	38:20.4	SBd	7.2
NGC5238	34:45.1	35:57.4	SABdm	4.51
NGC5474	05:01.5	39:44.0	SAcd	6.8
NGC7793	57:40.9	-32:35:20.6	SAd	3.44
UGC685	07:25.8	41:35.5	SAm	4.83
UGC1249	47:29.9	20:00.0	SBm	6.9
UGC7408	21:15.2	48:43.0	IAm	6.7
NGC4395	25:56.6	31:10.1	SAm	4.3
NGC4485	30:31.9	41:33.8	IBm	7.6
NGC4656	43:57.5	10:13.3	SBm	5.5
NGC5477	05:33.3	27:39.0	SAm	6.4
NGC1705	54:13.7	-53:21:40.9	SA0	5.1
UGC4305	19:13.8	42:43.1	Im	3.05
UGC4459	34:05.0	10:59.2	Im	3.66
UGC5139	40:31.5	11:23.2	IABm	3.98
UGC5340	56:46.3	49:15.3	Im	12.7
NGC3738	35:47.1	31:32.0	Im	4.9
NGC4449	28:12.1	05:42.3	IBm	4.31
UGCA281	26:15.8	29:38.8	Sm	5.9
NGC5253	39:55.9	-31:38:24.0	Im	3.15
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				

