_RAJ2000	_DEJ2000	Cl	Name	PGC	UGC	Dist	VMag	Rad	Rd	E(B-V)	logSFR1	logSFR2	[O/H]	Factor	Flux	MHI	PA	b/a	i	SimbadName	NED	LEDA	_RA	_DE
deg	deg	 	 	 	 	Mpc	mag	arcmin	kpc	mag	[Msun/yr/kpc2]	[Msun/yr/kpc2]	[-]	 	[Jy.m/s]	[Msun]	deg	 	deg	 	 	 	deg	deg
-----------	-----------	---	---------	-----	-----	----	-----	-----	-----	-----	-----	-----	----	-------	-----	-----	-----	-----	----	----------	---	----	---------	---------
189.6675000	+32.7611111	Im 	CVn I dwA	     	     	 3.6	-12.4	 0.87	 0.57	 0.01	-2.58	-2.48	 7.3	  52.98	 5.95	 7.67	 80.0	 0.78	41.0	UGCA 292  	NED	LEDA	189.66750	+32.76111
112.0741667	+40.7702778	Im 	DDO 43   	21073	 3860	 7.8	-15.1	 0.89	 0.41	 0.05	-1.78	-1.55	 8.3	 595.15	 5.45	 8.23	  6.5	 0.70	48.5	DDO 43    	NED	LEDA	112.07417	+40.77028
115.3608333	+40.1108333	Im 	DDO 46   	21585	 3966	 6.1	-14.7	     	 1.14	 0.05	-2.89	-2.46	 8.1	 530.30	 5.55	 8.27	 84.0	 0.89	28.6	DDO 46    	NED	LEDA	115.36083	+40.11083
115.4804167	+16.8022222	Im 	DDO 47   	21600	 3974	 5.2	-15.5	 2.24	 1.37	 0.02	-2.70	-2.40	 7.8	 134.65	 6.46	 8.59	-70.0	 0.51	64.4	DDO 47    	NED	LEDA	115.48042	+16.80222
124.7862500	+70.7236111	Im 	DDO 50   	23324	 4305	 3.4	-16.6	 3.97	 1.10	 0.02	-1.67	-1.55	 7.7	 125.49	 6.75	 8.85	 18.0	 0.72	46.7	DDO 50    	NED	LEDA	124.78625	+70.72361
127.1187500	+41.8558333	Im 	DDO 52   	23769	 4426	10.3	-15.4	 1.08	 1.30	 0.03	-3.20	-2.43	 7.7	1404.03	 5.28	 8.43	  5.0	 0.67	51.1	DDO 52    	NED	LEDA	127.11875	+41.85583
128.5333333	+66.1769444	Im 	DDO 53   	24050	 4459	 3.6	-13.8	 1.37	 0.72	 0.03	-2.42	-2.41	 7.6	 169.40	 5.49	 7.72	 81.0	 0.51	64.4	DDO 53    	NED	LEDA	128.53333	+66.17694
145.1266667	+71.1838889	Im 	DDO 63   	27605	 5139	 3.9	-14.8	 2.17	 0.68	 0.01	-2.32	-1.95	 7.6	 152.10	 6.01	 8.19	  0.0	 1.00	 0.0	DDO 63    	NED	LEDA	145.12667	+71.18389
