GALAXY	RA(J2000)	DEC(J2000)	Maj	D (Mpc)	M(B)
WLM	01:58.1	-15:27:39	11.5	0.92	-13.91
NGC0024	09:56.7	-24:57:44	5.8	8.13	-17.43
NGC0045	14:04.0	-23:10:55	8.5	7.07	-17.99
NGC0055	14:54.0	-39:11:49	32.4	2.17	-18.31
ESO410-G005	15:31.4	-32:10:47	1.3	1.9	-11.5
Sculptor-dE1	23:51.7	-24:42:18	0.9	4.2	-10.4
NGC059	15:25.4	-21:26:42	2.6	5.3	-15.57
ESO294-G010	26:33.4	-41:51:19	1.1	1.9	-10.9
IC1574	43:03.8	-22:14:49	2.1	4.92	-14.02
NGC0247	47:08.3	-20:45:38	21.4	3.65	-18.21
NGC0253	47:33.1	-25:17:18	27.5	3.94	-20
ESO540-G030	49:20.9	-18:04:32	1.2	3.4	-11.3
UGCA015	49:49.2	-21:00:54	1.7	3.34	-12.3
ESO540-G032	50:24.3	-19:54:24	1.3	3.4	-11.2
UGC00521	51:12.2	+12:01:31	0.9	11.32	-15.17
SMC	52:44.8	-72:49:43	316.2	0.06	-16.35
NGC0300	54:53.5	-37:41:00	21.9	2	-17.84
UGC00668	04:47.8	+02:07:04	16.2	0.65	-14.24
UGC00685	07:22.4	+16:41:02	1.2	4.7	-14.33
UGC00695	07:46.4	+01:03:49	1.1	10.2	-14.84
NGC404	09:27.0	+35:43:04	2.5	3.1	-16.2
UGC00891	21:18.9	+12:24:43	2.3	10.84	-15.56
UGC01056	28:47.3	+16:41:19	0.9	10.32	-15.41
UGC01104	32:42.5	+18:19:02	1	7.5	-15.15
NGC0598	33:50.9	+30:39:37	70.8	0.84	-18.53
NGC0625	35:04.2	-41:26:15	5.8	4.07	-16.4
NGC0628	36:41.7	+15:46:59	10.5	7.3	-19.57
UGC01176	40:09.9	+15:54:17	4.6	9	-15.58
ESO245-G005	45:03.7	-43:35:53	3.6	4.43	-15.6
UGC01249	47:30.6	+27:19:52	6.9	7.2	-17.51
NGC0672	47:54.3	+27:25:59	7.2	7.2	-18.1
ESO245-G007	51:06.3	-44:26:41	4.9	0.44	-9.96
NGC0784	01:17.0	+28:50:15	6.6	5.19	-16.58
NGC855	14:03.6	+27:52:38	2.6	9.73	-16.9
ESO115-G021	37:48.1	-61:20:18	4.9	4.99	-15.21
ESO154-G023	56:50.4	-54:34:17	8.5	5.76	-16.14
NGC1291	17:18.3	-41:06:28	9.8	9.37	-20.49
NGC1313	18:15.8	-66:29:53	9.1	4.15	-19.14
NGC1311	20:07.4	-52:11:07	3	5.45	-15.54
UGC02716	24:07.2	+17:45:12	1.6	6.23	-14.83
IC1959	33:11.8	-50:24:38	2.8	6.06	-15.67
NGC1487	55:46.1	-42:22:05	3.3	9.08	-17.47
NGC1510	03:32.6	-43:24:00	1.3	9.84	-16.51
NGC1512	03:54.3	-43:20:57	8.9	9.64	-18.81
NGC1522	06:07.7	-52:40:09	1.2	9.32	-15.94
IC2049	12:04.3	-58:33:25	1	16.73	-15.97
ESO483-G013	12:41.3	-23:09:36	1.6	10.43	-16.05
ESO158-G003	46:16.7	-57:20:35	1.6	9.96	-16
ESO119-G016	51:29.2	-61:39:03	2.3	9.84	-15.23
NGC1705	54:13.7	-53:21:41	1.9	5.1	-15.87
NGC1744	59:57.6	-26:01:19	8.1	7.65	-17.9
NGC1796	02:42.8	-61:08:23	1.9	10.32	-17.26
ESO486-G021	03:19.7	-25:25:23	1.2	8.89	-15.34
MCG-05-13-004	06:24.1	-31:57:11	0.2	6.63	-15.91
NGC1800	06:25.4	-31:57:15	2	8.24	-16.54
UGCA106	11:59.3	-32:58:21	3.5	9.77	-16.94
LMC	23:34.5	-69:45:22	645.7	0.05	-17.87
KKH037	47:45.8	+80:07:26	1.2	3.39	-11.57
NGC2366	28:54.6	+69:12:57	7.3	3.19	-16.25
UGCA133	34:11.4	+66:53:10	3	3.2	-11.9
NGC2403	36:51.4	+65:36:09	21.9	3.22	-18.77
NGC2500	01:53.3	+50:44:15	2.9	7.63	-17.36
NGC2537	13:14.7	+45:59:26	1.7	6.9	-16.56
UGC04278	13:58.9	+45:44:34	4.7	7.59	-16.51
UGC04305	19:04.0	+70:43:09	7.9	3.39	-16.66
NGC2552	19:20.1	+50:00:25	3.5	7.65	-17.04
M81dwA	23:56.0	+71:01:45	1.3	3.55	-9.15
UGC04426	28:28.4	+41:51:24	2	10.28	-15.19
UGC04459	34:07.2	+66:10:54	1.5	3.56	-13.1
UGC04483	37:03.0	+69:46:31	1.1	3.21	-12.4
NGC2683	52:41.4	+33:25:14	9.3	7.7	-18.89
UGC04704	59:00.3	+39:12:36	4.1	7.75	-14.2
UGC04787	07:34.9	+33:16:36	2.1	6.53	-13.73
UGC04998	25:12.1	+68:22:59	1.6	10.5	-15.59
NGC2903	32:10.1	+21:30:04	12.6	8.9	-20.16
UGC05076	32:36.4	+51:52:19	1	8.31	-14.42
CGCG035-007	34:44.9	+06:25:32	0.8	5.17	-13.26
UGC05139	40:32.3	+71:10:56	3.6	3.84	-13.88
IC0559	44:43.9	+09:36:55	0.8	4.93	-13.71
F8D1	44:47.1	+67:26:19	5.5	3.8	-12.2
[FM2000]1	45:10.0	+68:45:54	0.9	3.4	-10.2
NGC2976	47:15.3	+67:55:00	5.9	3.56	-16.72
LEDA166101	50:10.5	+67:30:24	2.4	3.5	-11.4
UGC05272	50:22.4	+31:29:16	2.1	7.1	-13.9
UGC05288	51:17.0	+07:49:39	1.3	6.8	-14.92
BK03N	53:48.5	+68:58:08	0.5	4.02	-9.48
NGC3031	55:33.2	+69:03:55	26.9	3.63	-20.15
NGC3034	55:52.2	+69:40:47	11.2	3.53	-18.84
UGC05340	56:45.7	+28:49:35	2.7	5.9	-14.14
KDG061	57:03.1	+68:35:31	1.2	3.6	-12.85
UGC05336	57:32.0	+69:02:45	2.5	3.7	-13.78
Arp'sLoop	57:32.6	+69:17:00	1.8	3.9	-11.2
UGC05364	59:26.4	+30:44:47	5.1	0.69	-11.35
UGC05373	00:00.1	+05:19:56	5.1	1.44	-14.03
KKH057	00:15.9	+63:11:06	0.6	3.9	-10.1
UGCA193	02:36.0	-06:00:49	2.8	9.7	-15.2
NGC3109	03:06.6	-26:09:32	17	1.34	-15.46
NGC3077	03:20.6	+68:44:04	5.4	3.82	-17.54
AM1001-270	04:03.9	-27:19:55	2	1.3	-9.4
BK05N	04:41.1	+68:15:22	0.8	3.8	-10.4
UGC5428	05:06.4	+66:33:32	1.7	3.5	-12.04
UGC05423	05:30.6	+70:21:52	0.9	5.3	-13.68
UGC5442	07:01.9	+67:49:39	1.9	3.7	-12.3
UGC05456	07:19.6	+10:21:46	1.6	3.8	-14.29
IKN	08:05.9	+68:23:57	2.7	3.7	-10.8
SextansA	11:00.8	-04:41:34	5.9	1.32	-13.87
[HS98]117	21:25.2	+71:06:51	1.5	4	-11.5
NGC3239	25:05.6	+17:09:37	5	8.29	-17.98
DDO078	26:27.4	+67:39:16	2	3.7	-12.1
UGC05672	28:20.9	+22:34:17	1.8	6.3	-13.9
UGC05666	28:21.2	+68:24:43	13.2	4.02	-17.32
UGC05692	30:35.0	+70:37:07	3.2	4	-14.42
NGC3274	32:17.1	+27:40:07	2.1	6.5	-15.93
BK06N	34:29.8	+66:00:30	1.1	3.8	-11.1
NGC3299	36:23.8	+12:42:27	2.2	10.4	-16.04
UGC05764	36:43.3	+31:32:48	2	7.08	-14.09
UGC05797	39:25.2	+01:43:05	1	6.84	-14.26
UGC05829	42:42.2	+34:26:56	4.7	7.88	-15.81
NGC3344	43:30.9	+24:55:22	7.1	6.64	-18.74
