Name	RA	DEC.	D	LEM	phase cal	Q	Beam	PA	rms	det	morph
NGC 7817	00 03 58.899	+20 45 08.42	31.5	04	0004+2019	++	0.21 × 0.13	33.4	82	U	
IC 10	00 20 23.16	+59 17 34.7	1.3	04	0027+5958	++	0.21 × 0.11	88.2	89	U	
NGC 147	00 33 12.120	+48 30 31.46	0.7	04	0039+4900	++	0.24 × 0.14	−63.2	73	I	A
NGC 185	00 38 57.970	+48 20 14.56	0.7	04	0039+4900	++	0.17 × 0.14	−84.3	82	U	
NGC 205	00 40 22.075	+41 41 07.08	0.7	04	0038+4137	++	0.20 × 0.13	79.8	86	U	
NGC 221	00 42 41.825	+40 51 54.61	0.7	04	0038+4137	++	0.36 × 0.15	−34.7	82	U	
NGC 224	00 42 44.330	+41 16 07.50	0.7	04	0038+413	++	0.19 × 0.14	−71.4	79	U	
NGC 266	00 49 47.793	+32 16 39.81	62.4	03	0048+3157	+	0.48 × 0.31	−40.0	95	I	A
NGC 278	00 52 04.300	+47 33 01.93	11.8	04	0039+4900	++	0.29 × 0.14	−55.2	50	I	A
NGC 315	00 57 48.883	+30 21 08.81	65.8	03	0048+3157	+	0.12 × 0.12	45.0	5500	I	A
NGC 404	01 09 27.021	+35 43 05.27	2.4	03	0112+3522	+	0.43 × 0.26	−46.8	61	U	
NGC 410	01 10 58.872	+33 09 07.30	70.6	03	0112+3522	+	0.52 × 0.32	−46.85	140	I	A
NGC 507	01 23 39.950	+33 15 22.22	65.7	03	0112+3522	+	0.46 × 0.35	−67.8	180	I	A
NGC 598	01 33 50.904	+30 39 35.79	0.7	03	0137+3122	+	0.32 × 0.13	12.1	103	U	
IC 1727	01 47 29.890	+27 20 00.06	8.2	03	0151+2744	+	0.48 × 0.17	−8.8	98	U	
NGC 672	01 47 54.523	+27 25 58.00	7.5	03	0151+2744	+	0.50 × 0.23	−16.3	118	U	
