
Name	n_Name	RAJ2000	DEJ2000	Dist	Kmag	AV	KMag	sigmaHL	sigmaNSA	Rad	RadNSA	Env	n_Env	Com	Simbad
 	 	deg	deg	Mpc	mag	mag	mag	km/s	km/s	arcsec	arcsec	 	 	 	
----------	-	--------	--------	-----	-----	------	------	---	---	----	----	---	-	------------	------
NGC 0057  	 	003.8787	+17.3284	 76.3	 8.68	 0.212	-25.75	326	   	13.2	27.0	  1	 	            	Simbad
NGC 0080  	 	005.2952	+22.3572	 81.9	 8.92	 0.168	-25.66	260	   	15.7	32.2	 14	B	            	Simbad
NGC 0128  	 	007.3128	+02.8641	 59.3	 8.52	 0.079	-25.35	215	   	10.5	18.0	  1	 	            	Simbad
NGC 0227  	 	010.6534	-01.5288	 75.9	 9.09	 0.084	-25.32	262	   	 8.7	27.2	  4	B	            	Simbad
NGC 0315  	 	014.4538	+30.3524	 70.3	 7.96	 0.177	-26.30	296	   	20.0	25.1	  6	B	            	Simbad
NGC 0383  	 	016.8540	+32.4126	 71.3	 8.48	 0.194	-25.81	279	   	15.5	20.5	 29	 	=4ZW038     	Simbad
NGC 0393  	 	017.1540	+39.6443	 85.7	 9.23	 0.120	-25.44	233	   	11.0	    	  1	 	            	Simbad
NGC 0410  	 	017.7453	+33.1520	 71.3	 8.38	 0.161	-25.90	298	   	16.8	31.6	 29	B	            	Simbad
NGC 0467  	 	019.7922	+03.3008	 75.8	 9.01	 0.092	-25.40	247	   	14.5	21.5	  1	 	            	Simbad
PGC 004829	 	020.1287	+50.1445	 99.0	 9.74	 0.554	-25.30	   	   	 7.3	    	  1	 	            	Simbad
NGC 0499  	 	020.7978	+33.4601	 69.8	 8.74	 0.193	-25.50	266	   	11.6	15.6	 35	 	            	Simbad
NGC 0507  	 	020.9164	+33.2561	 69.8	 8.30	 0.170	-25.93	295	   	23.0	38.4	 35	B	            	Simbad
NGC 0533  	 	021.3808	+01.7590	 77.9	 8.42	 0.084	-26.05	279	   	21.9	40.7	  3	B	            	Simbad
NGC 0545  	a	021.4963	-01.3402	 74.0	     	 0.114	      	250	   	    	    	 32	B	A194        	Simbad
NGC 0547  	 	021.5024	-01.3451	 74.0	 8.49	 0.113	-25.83	262	   	25.1	19.7	 32	 	A194        	Simbad
NGC 0665  	 	026.2338	+10.4230	 74.6	 8.88	 0.242	-25.51	190	   	11.5	13.7	  4	B	            	Simbad
UGC 01332 	 	028.0755	+48.0878	 99.2	 9.48	 0.557	-25.57	   	   	12.9	    	  8	B	            	Simbad
NGC 0708  	 	028.1937	+36.1518	 69.0	 8.57	 0.247	-25.65	230	   	23.7	    	 39	B	A262        	Simbad
UGC 01389 	 	028.8778	+47.9550	 99.2	 9.63	 0.519	-25.41	   	   	 9.2	    	  8	 	            	Simbad
NGC 0741  	 	029.0874	+05.6289	 73.9	 8.30	 0.144	-26.06	291	   	19.5	26.9	  5	B	            	Simbad
NGC 0777  	 	030.0622	+31.4294	 72.2	 8.37	 0.128	-25.94	318	   	14.6	18.6	  7	B	            	Simbad
NGC 0890  	 	035.5042	+33.2661	 55.6	 8.25	 0.212	-25.50	212	   	16.7	    	  1	 	            	Simbad
NGC 0910  	 	036.3616	+41.8243	 79.8	 9.20	 0.157	-25.33	249	   	13.6	    	 29	 	A347        	Simbad
NGC 0997  	 	039.3103	+07.3056	 90.4	 9.42	 0.380	-25.40	   	   	 9.6	23.5	  3	B	            	Simbad
NGC 1016  	 	039.5815	+02.1193	 95.2	 8.58	 0.085	-26.33	302	   	18.1	26.8	  8	B	            	Simbad
NGC 1060  	 	040.8127	+32.4250	 67.4	 8.20	 0.532	-26.00	303	   	16.8	36.9	 12	B	            	Simbad
NGC 1066  	 	040.9579	+32.4749	 67.4	 8.89	 0.563	-25.31	   	   	17.5	26.6	 12	 	            	Simbad
NGC 1132  	 	043.2159	-01.2747	 97.6	 9.26	 0.176	-25.70	246	   	16.1	30.9	  3	B	            	Simbad
NGC 1129  	 	043.6141	+41.5796	 73.9	 8.24	 0.309	-26.14	330	   	26.4	30.2	 33	B	            	Simbad
NGC 1167  	 	045.4265	+35.2056	 70.2	 8.64	 0.496	-25.64	204	   	20.7	29.7	  3	B	            	Simbad
NGC 1226  	 	047.7723	+35.3868	 85.7	 9.21	 0.526	-25.51	271	   	12.5	    	  3	B	            	Simbad
IC 0310   	 	049.1792	+41.3248	 77.5	 9.15	 0.445	-25.35	230	239	11.8	15.3	117	 	Perseus/A426	Simbad
NGC 1272  	 	049.8387	+41.4906	 77.5	 8.69	 0.441	-25.80	292	   	20.7	31.5	117	 	Perseus/A426	Simbad
UGC 02783 	 	053.5766	+39.3568	 85.8	 9.27	 0.447	-25.44	299	   	 8.4	 9.0	  4	B	            	Simbad
NGC 1453  	 	056.6136	-03.9688	 56.4	 8.12	 0.289	-25.67	328	   	16.0	    	 12	B	            	Simbad
NGC 1497  	 	060.5283	+23.1329	 87.8	 9.48	 0.602	-25.31	249	   	10.3	    	  1	 	            	Simbad
NGC 1600  	 	067.9161	-05.0861	 63.8	 8.04	 0.118	-25.99	334	   	20.8	    	 16	B	            	Simbad
NGC 1573  	 	068.7666	+73.2624	 65.0	 8.56	 0.377	-25.55	303	   	13.9	    	 15	B	            	Simbad
NGC 1684  	 	073.1298	-03.1061	 63.5	 8.69	 0.159	-25.34	306	   	15.8	    	 11	B	            	Simbad
NGC 1700  	 	074.2347	-04.8658	 54.4	 8.09	 0.119	-25.60	239	   	13.4	    	  4	B	            	Simbad
NGC 2208  	 	095.6444	+51.9095	 84.1	 9.04	 0.408	-25.63	225	   	14.2	    	  1	 	            	Simbad
NGC 2256  	 	101.8082	+74.2365	 79.4	 8.67	 0.359	-25.87	221	   	20.9	    	 10	B	            	Simbad
NGC 2274  	 	101.8224	+33.5672	 73.8	 8.68	 0.286	-25.69	295	   	15.0	    	  6	B	            	Simbad
NGC 2258  	 	101.9425	+74.4818	 59.0	 8.23	 0.351	-25.66	287	   	18.6	    	  3	B	            	Simbad
NGC 2320  	 	106.4251	+50.5811	 89.4	 8.85	 0.189	-25.93	315	   	10.6	    	 18	B	            	Simbad
UGC 03683 	 	107.0582	+46.1159	 85.1	 9.16	 0.253	-25.52	291	   	11.2	    	  4	B	            	Simbad
NGC 2332  	 	107.3924	+50.1823	 89.4	 9.40	 0.241	-25.39	232	   	 8.9	    	 18	 	            	Simbad
NGC 2340  	 	107.7950	+50.1747	 89.4	 8.88	 0.203	-25.90	246	   	19.7	    	 18	 	            	Simbad
UGC 03894 	 	113.2695	+65.0791	 97.2	 9.37	 0.175	-25.58	304	   	12.2	17.8	  4	B	            	Simbad
NGC 2418  	 	114.1563	+17.8839	 74.1	 8.95	 0.102	-25.42	247	   	11.7	16.2	  1	 	            	Simbad
NGC 2456  	 	118.5444	+55.4953	107.3	 9.83	 0.106	-25.33	214	   	10.9	    	  1	 	            	Simbad
NGC 2492  	 	119.8738	+27.0264	 97.8	 9.60	 0.109	-25.36	243	273	 8.7	12.6	  3	B	            	Simbad
NGC 2513  	 	120.6028	+09.4136	 70.8	 8.74	 0.063	-25.52	274	   	13.9	24.0	  4	B	            	Simbad
NGC 2672  	 	132.3412	+19.0750	 61.5	 8.35	 0.058	-25.60	268	   	16.9	14.3	  3	B	            	Simbad
NGC 2693  	 	134.2469	+51.3474	 74.4	 8.60	 0.054	-25.76	349	   	13.7	15.4	  1	 	            	Simbad
NGC 2783  	 	138.4145	+29.9929	101.4	 9.32	 0.082	-25.72	301	254	11.8	38.2	  3	B	            	Simbad
NGC 2832  	 	139.9453	+33.7498	105.2	 8.70	 0.047	-26.42	332	   	18.2	21.2	  4	B	A779        	Simbad
NGC 2892  	 	143.2205	+67.6174	101.1	 9.35	 0.233	-25.70	304	   	12.5	23.3	  1	 	            	Simbad
NGC 2918  	 	143.9334	+31.7054	102.3	 9.57	 0.053	-25.49	258	223	 8.8	18.9	  1	 	            	Simbad
NGC 3158  	 	153.4605	+38.7649	103.4	 8.80	 0.036	-26.28	343	300	14.2	16.1	  6	B	            	Simbad
NGC 3209  	 	155.1601	+25.5050	 94.6	 9.34	 0.060	-25.55	303	   	 9.0	29.4	  3	B	            	Simbad
NGC 3332  	 	160.1182	+09.1825	 89.1	 9.37	 0.087	-25.38	221	220	12.5	23.7	  1	 	            	Simbad
NGC 3343  	 	161.5432	+73.3531	 93.8	 9.57	 0.331	-25.33	   	   	10.6	    	  1	 	            	Simbad
