ID	RA	DEC	Distance (Mpc)
1	40.874989	37.341338	-3
2	70.367409	-2.857962	9.3
3	146.814417	67.916389	10.6
4	154.570257	41.424054	12
5	159.691083	53.503382	3.6
6	274.943375	74.568361	11.1
7	280.801917	60.653333	17.5
8	357.843932	20.096517	9
9	357.853354	20.111741	6.8
10	211.256708	53.662222	20.1
11	338.99625	33.958611	57.2
12	338.966167	33.944889	58.7
13	338.986446	33.965462	60.8
14	338.993366	33.965902	93.3
15	339.014083	33.948111	93.7
16	339.014772	33.97572	82
17	24.173946	15.783662	95.4
18	190.469671	41.273965	13.7
			
