A	Name	RAJ2000	DEJ2000	logM*	Dmean
 	 	deg	deg	[Msun]	Mpc
-	----------	---------	---------	------	-------
 	IC5269    	344.43187	-36.02620	10.121	 26.150
 	IC5269A   	343.98060	-36.34807	 9.399	 37.833
 	IC5269B   	344.15293	-36.24990	 9.738	 25.106
 	IC5269C   	345.20066	-35.37049	 9.296	
 	IC5270    	344.47868	-35.85802	10.055	 22.647
 	IC5271    	344.50766	-33.74218	10.467	 22.630
 	IC5273    	344.86115	-37.70289	10.029	 16.557
 	IC5321    	351.58328	-17.95604	10.029	 41.867
 	IC5325    	352.18093	-41.33327	10.250	 18.100
 	IC5332    	353.61437	-36.10101	 9.702	  8.400
 	IC5333    	353.71979	-65.39610	 9.769	 32.333
 	IC5334    	353.65174	-04.53426	10.267	 39.600
 	NGC0007   	002.08741	-29.91481	 9.141	 21.929
 	NGC0014   	002.19285	+15.81629	 9.299	 12.800
 	NGC0024   	002.48444	-24.96402	 9.318	  6.889
 	NGC0045   	003.51699	-23.18187	 9.819	  9.313
 	NGC0055   	003.72841	-39.19950	      	  1.942
 	NGC0059   	003.85485	-21.44434	 8.398	  4.845
 	NGC0063   	004.43955	+11.45034	 9.931	 18.800
 	NGC0100   	006.01111	+16.48603	 9.297	 16.392
 	NGC0115   	006.69270	-33.67710	 9.525	 30.686
 	NGC0131   	007.41048	-33.25990	 9.383	
 	NGC0134   	007.59138	-33.24391	10.895	 18.885
 	NGC0148   	008.56456	-31.78600	10.013	 18.400
 	NGC0150   	008.56445	-27.80352	10.378	 21.038
 	NGC0157   	008.69491	-08.39634	10.651	 19.500
 	NGC0178   	009.78486	-14.17263	 9.404	 18.400
 	NGC0210   	010.14572	-13.87277	10.437	 20.983
 	NGC0216   	010.36312	-21.04490	 9.433	 19.100
 	NGC2967   	145.51380	+00.33644	10.566	 30.900
 	NGC2968   	145.80008	+31.92874	10.104	 13.890
 	NGC2974   	145.63871	-03.69919	10.771	 24.730
 	NGC2976   	146.81366	+67.91671	 9.273	  3.611
 	NGC2978   	145.81995	-09.74573	10.828	 85.375
 	NGC2985   	147.59242	+72.27897	10.856	 21.500
A	NGC2986   	146.06677	-21.27801	11.219	 36.022
 	NGC3003   	147.14876	+33.42163	10.066	 22.677
 	NGC3018   	147.42269	+00.62141	 9.455	
 	NGC3020   	147.52759	+12.81372	 9.821	 28.450
 	NGC3021   	147.73816	+33.55360	10.329	 27.288
 	NGC3023   	147.46865	+00.61904	 9.854	 31.460
 	NGC3024   	147.61398	+12.76571	 9.303	
 	NGC3026   	147.73046	+28.55106	 9.663	 25.400
 	NGC3027   	148.91815	+72.20381	 9.720	 19.756
 	NGC3031   	148.88833	+69.06535	10.780	  3.692
 	NGC3032   	148.03400	+29.23624	 9.992	 22.860
 	NGC3034   	148.96800	+69.67975	10.449	  3.777
 	NGC3041   	148.27976	+16.67765	10.437	 26.350
 	NGC3043   	149.06190	+59.30716	10.249	 46.175
 	NGC3044   	148.41998	+01.57971	10.259	 23.308
 	NGC3049   	148.70665	+09.27120	10.132	 30.775
 	NGC3055   	148.82524	+04.27000	10.348	 31.614
 	NGC3057   	151.41458	+80.28665	 9.525	 25.700
 	NGC3061   	149.05025	+75.86644	10.366	 55.100
 	NGC3065   	150.48018	+72.17035	10.560	 34.033
 	NGC3066   	150.54576	+72.12532	10.109	 32.400
 	NGC3067   	149.58780	+32.37009	10.217	 21.317
 	NGC3245A  	156.75503	+28.63942	 9.236	 24.586
 	NGC4293   	185.30347	+18.38261	10.418	 14.320
 	NGC4294   	185.32433	+11.51059	 9.771	 19.233
 	NGC4298   	185.38650	+14.60612	10.201	 15.971
 	NGC4299   	185.41800	+11.50307	 9.427	 16.800
 	NGC4302   	185.42626	+14.59782	10.672	 21.689
 	NGC4303   	185.47890	+04.47375	10.857	 16.460
 	NGC4303A  	185.61350	+04.56620	 9.198	
 	NGC4307   	185.52342	+09.04367	10.372	 22.625
 	NGC4309   	185.55152	+07.14430	 9.537	
 	NGC4310   	185.60956	+29.20872	 9.216	  9.700
 	NGC4312   	185.63023	+15.53799	 9.670	 10.933
 	NGC4313   	185.66055	+11.80087	10.137	 16.140
 	NGC4314   	185.63341	+29.89545	10.140	  9.700
 	NGC4316   	185.67602	+09.33287	10.334	 28.613
 	NGC4319   	185.43309	+75.32251	10.503	 28.200
 	NGC4321   	185.72888	+15.82230	10.931	 15.950
 	NGC4324   	185.77577	+05.25036	10.710	 31.633
 	NGC4330   	185.82167	+11.36827	 9.914	 20.400
 	NGC4331   	185.64870	+76.17220	 9.268	 26.600
 	NGC4336   	185.87435	+19.42692	 9.553	
 	NGC4343   	185.91121	+06.95405	10.420	 27.657
 	NGC4344   	185.90605	+17.54093	 9.554	
A	NGC4346   	185.86656	+46.99379	10.216	 15.650
 	NGC4348   	185.97469	-03.44280	10.579	 32.723
 	NGC4351   	186.00639	+12.20490	10.066	 27.817
 	NGC4353   	186.00116	+07.78522	 9.720	 28.600
 	NGC4355   	186.72764	-00.87767	 9.432	 25.350
 	NGC4356   	186.06000	+08.53580	10.192	 28.775
 	UGC00132  	003.50317	+12.96380	 9.058	
 	UGC00156  	004.19997	+12.35026	 8.829	 15.900
 	UGC00191  	005.02088	+10.87959	 8.818	 15.900
 	UGC00260  	006.76214	+11.58380	 9.995	 32.275
 	UGC00290  	007.28488	+15.89907	 7.556	  8.960
 	UGC00313  	007.85842	+06.20682	 9.455	
 	UGC00320  	008.12872	+02.57464	 9.003	 40.833
 	UGC00477  	011.55463	+19.48989	 9.515	 35.800
 	UGC00634  	015.35349	+07.62546	 9.033	 28.700
 	UGC00711  	017.15476	+01.64096	 9.282	 24.673
 	UGC00866  	020.02849	-00.20546	 8.885	 26.200
 	UGC00882  	020.23115	+06.57411	 9.074	
 	UGC00891  	020.32950	+12.41167	 8.091	  9.400
 	UGC00903  	020.44926	+17.59260	10.584	 40.367
 	UGC00941  	020.88474	+06.96042	 9.160	
 	UGC00958  	021.14255	+16.53699	 8.883	 34.417
 	UGC00964  	021.14561	+07.72110	 9.924	 65.667
 	UGC01014  	021.59821	+06.27779	 9.230	
 	UGC01020  	021.68326	+17.26448	 9.718	
 	UGC01104  	023.17717	+18.31708	 8.155	  7.550
 	UGC01110  	023.32382	+13.33248	 9.464	 36.300
 	UGC01112  	023.32859	+03.07033	 9.108	 25.750
 	UGC01133  	023.76142	+04.38126	 8.482	 25.200
 	UGC01176  	025.04055	+15.90470	 8.199	  9.170
 	UGC01195  	025.61296	+13.97781	 8.767	 10.800
 	UGC01197  	025.63808	+18.30601	 9.291	 36.050
 	UGC01200  	025.70123	+13.15599	 8.684	
 	UGC01240  	026.58581	+04.26429	 8.735	
 	UGC01500  	030.30082	+19.67498	 9.395	 40.400
 	UGC12791  	357.20536	+26.22086	 8.190	 12.900
 	NGC4701   	192.29830	+03.38872	 9.974	 23.843
 	NGC4707   	192.09555	+51.16590	 8.295	  8.000
