AGC^a	alpha	delta	Distance	M_r	(u - r)	M_B	(B - V)	%Z_sun^b	V_21	W_21	log (M_H I)	
	(J2000)	(J2000)	(Mpc)	(mag)	(mag)	(mag)	(mag)		(km s^-1)	(km s^-1)	(M_sun)											
748778^e	00:06:34.3	15:30:39	5.4^c	-10.52	0.81 +or- 0.19	-10.02	0.25 +or- 0.03	N/A	258	16	6.51	
112521^e	01:41:07.6	27:19:24	7.2^f	-11.52^d	2.19 +or- 0.42^d	-10.80	0.45 +or- 0.03	6%	274	26	6.92	
110482^e	01:42:17.4	26:22:00	7.2^f	-13.63	1.25 +or- 0.04	-12.86	0.49 +or- 0.02	13%	357	30	7.21	
111946^e	01:46:42.2	26:48:05	7.2^f	-11.49^d	1.46 +or- 0.25^d	-11.48	0.39 +or- 0.03	5%	367	21	6.97	
111977^e	01:55:20.2	27:57:14	5.5^g	-12.55^d	2.26 +or- 0.16^d	-12.31	0.47 +or- 0.02	N/A	207	26	6.78	
111164^e	02:00:10.1	28:49:52	4.9^g	-11.50^d	0.80 +or- 0.09^d	-11.10	0.41 +or- 0.02	N/A	163	27	6.57	
174585^h,^i	07:36:10.3	09:59:11	6.1^c	N/A	N/A	N/A	N/A	N/A	356	21	6.68	
174605^h	07:50:21.7	07:47:40	6.0^c	-10.46^d	1.85 +or- 0.21^d	-10.98	0.47 +or- 0.05	N/A	351	24	6.75	
182595^h	08:51:12.1	27:52:48	6.1^c	-12.45	1.27 +or- 0.05	-11.75	0.52 +or- 0.05	N/A	398	20	6.66	
731457^h	10:31:55.8	28:01:33	5.4^c	-12.55	1.23 +or- 0.03	-12.02	0.39 +or- 0.05	N/A	454	36	6.63	
749237^h	12:26:23.4	27:44:44	3.2^c	-11.58	1.28 +or- 0.03	-11.21	0.44 +or- 0.05	N/A	372	65	6.64	
749241^h	12:40:01.7	26:19:19	4.3^c	-9.27	0.83 +or- 0.15	-9.57	0.22 +or- 0.05	N/A	451	18	6.52	
