_RAJ2000	_DEJ2000	Sp	Name	RAJ2000	DEJ2000	Dist	logD25	n_logD25	Bmag	i	PA	Metal	SFR	TT	SimbadName	LEDA
deg	deg	 	 	"h:m:s"	"d:m:s"	Mpc	[0.1arcmin]	 	mag	deg	deg	[-]	Msun/yr	 	 	
----------	----------	--	--------	----------	---------	----	-----	-	-----	--	---	-----	------	--	------------	----
024.174167	+15.783333	Sp	NGC 628 	01 36 41.8	+15 47 00	 7.3	 1.99	 	 9.35	 7	 20	 8.33	 1.210	 5	NGC 628     	LEDA
036.818750	+33.578889	Sp	NGC 925 	02 27 16.5	+33 34 44	 9.2	 2.03	 	 9.77	66	287	 8.24	 1.090	 7	NGC 925     	LEDA
067.704167	+64.848056	Sp	NGC 1569	04 30 49.0	+64 50 53	 2.0	 1.60	 	 8.33	63	112	 8.16	 0.060	10	NGC 1569    	LEDA
112.222500	+69.214167	Sp	NGC 2366	07 28 53.4	+69 12 51	 3.4	 1.64	 	10.51	64	 40	 7.96	      	10	NGC 2366    	LEDA
114.212917	+65.600833	Sp	NGC 2403	07 36 51.1	+65 36 03	 3.2	 2.20	 	 8.11	63	124	 8.31	 0.850	 6	NGC 2403    	LEDA
124.770833	+70.720000	Sp	Ho II   	08 19 05.0	+70 43 12	 3.4	 1.82	 	10.78	41	177	 7.68	 0.070	10	Holmberg II 	LEDA
125.983333	+71.029167	Sp	M81 DwA 	08 23 56.0	+71 01 45	 3.6	 1.10	*	16.26	23	 49	     	      	10	Name M81 dwA	LEDA
128.530000	+66.181667	Sp	DDO  53 	08 34 07.2	+66 10 54	 3.6	 0.89	 	14.31	31	132	 7.77	 0.008	10	DDO  53     	LEDA
140.510833	+50.976389	Sp	NGC 2841	09 22 02.6	+50 58 35	14.1	 1.84	 	 9.54	74	153	 8.52	 0.200	 3	NGC 2841    	LEDA
143.042083	+21.501111	Sp	NGC 2903	09 32 10.1	+21 30 04	 8.9	 2.07	 	 8.82	65	204	 9.12	      	 4	NGC 2903    	LEDA
145.134583	+71.182222	Sp	Ho I    	09 40 32.3	+71 10 56	 3.8	 1.52	 	13.12	12	 50	 7.54	 0.006	10	Holmberg I  	LEDA
146.813750	+67.916667	Sp	NGC 2976	09 47 15.3	+67 55 00	 3.6	 1.86	 	 9.98	65	335	 8.30	 0.100	 5	NGC 2976    	LEDA
148.887917	+69.065278	Sp	NGC 3031	09 55 33.1	+69 03 55	 3.6	 2.33	 	 7.07	59	330	 8.41	 1.060	 2	NGC 3031    	LEDA
150.829583	+68.733889	Sp	NGC 3077	10 03 19.1	+68 44 02	 3.8	 1.73	 	10.16	46	 45	 8.64	 0.090	10	NGC 3077    	LEDA
151.377500	+70.364444	Sp	M81 DwB 	10 05 30.6	+70 21 52	 5.3	 1.05	 	14.39	44	321	 7.85	 0.005	10	Name M81 dwB	LEDA
154.570833	+41.424444	Sp	NGC 3184	10 18 17.0	+41 25 28	11.1	 1.87	 	10.31	16	179	 8.48	 1.430	 6	NGC 3184    	LEDA
154.979167	+45.549722	Sp	NGC 3198	10 19 55.0	+45 32 59	13.8	 1.81	 	 9.95	72	215	 8.32	 0.850	 5	NGC 3198    	LEDA
157.115417	+68.416389	Sp	IC 2574 	10 28 27.7	+68 24 59	 4.0	 2.11	 	 9.91	53	 56	 7.94	 0.120	 9	IC 2574     	LEDA
160.990417	+11.703889	Sp	NGC 3351	10 43 57.7	+11 42 14	10.1	 1.86	 	10.13	41	192	 8.60	 0.710	 3	NGC 3351    	LEDA
166.452500	 -0.035833	Sp	NGC 3521	11 05 48.6	-00 02 09	10.7	 1.92	 	 9.21	73	340	 8.36	 3.340	 4	NGC 3521    	LEDA
169.568750	-32.814167	Sp	NGC 3621	11 18 16.5	-32 48 51	 6.6	 1.99	 	 9.06	65	345	 8.24	 2.090	 7	NGC 3621    	LEDA
170.062500	+12.991667	Sp	NGC 3627	11 20 15.0	+12 59 30	 9.3	 2.01	 	 9.09	62	173	 8.43	 2.440	 3	NGC 3627    	LEDA
183.913333	+36.326944	Sp	NGC 4214	12 15 39.2	+36 19 37	 2.9	 1.83	 	 9.91	44	 65	 8.34	 0.050	10	NGC 4214    	LEDA
187.049583	+44.094444	Sp	NGC 4449	12 28 11.9	+44 05 40	 4.2	 1.67	 	 8.98	60	230	 8.32	      	10	NGC 4449    	LEDA
192.720833	+41.120278	Sp	NGC 4736	12 50 53.0	+41 07 13	 4.7	 1.89	 	 8.54	41	296	 8.31	 0.430	 2	NGC 4736    	LEDA
193.524583	+27.152778	Sp	DDO 154 	12 54 05.9	+27 09 10	 4.3	 1.29	 	13.94	66	230	 7.54	 0.004	10	DDO 154     	LEDA
194.181667	+21.683333	Sp	NGC 4826	12 56 43.6	+21 41 00	 7.5	 2.02	 	 8.74	65	121	 8.59	 0.820	 2	NGC 4826    	LEDA
198.955000	+42.029167	Sp	NGC 5055	13 15 49.2	+42 01 45	10.1	 2.07	 	 8.90	59	102	 8.42	 2.420	 4	NGC 5055    	LEDA
202.469583	+47.195278	Sp	NGC 5194	13 29 52.7	+47 11 43	 8.0	 1.89	 	 8.48	42	172	 8.54	 6.050	 4	NGC 5194    	LEDA
204.253750	-29.865833	Sp	NGC 5236	13 37 00.9	-29 51 57	 4.5	 2.19	 	 7.48	24	225	 9.16	 2.520	 5	NGC 5236    	LEDA
210.802500	+54.349167	Sp	NGC 5457	14 03 12.6	+54 20 57	 7.4	 2.38	 	 8.29	18	 39	 8.52	 2.490	 6	NGC 5457    	LEDA
308.717500	+60.153889	Sp	NGC 6946	20 34 52.2	+60 09 14	 5.9	 2.06	 	 8.24	33	243	 8.40	 4.760	 6	NGC 6946    	LEDA
339.267083	+34.415833	Sp	NGC 7331	22 37 04.1	+34 24 57	14.7	 1.96	 	 9.17	76	168	 8.36	 4.200	 3	NGC 7331    	LEDA
359.457083	-32.591111	Sp	NGC 7793	23 57 49.7	-32 35 28	 3.9	 2.02	 	 9.17	50	290	 8.22	 0.510	 7	NGC 7793    	LEDA
