Galaxy 1	Alt. Name 2	R.A. (2000.0) hh mm ss.s 3	Decl. (2000.0) dd mm ss.s 4	D Mpc 5	log(D_25) log(0.'1) 6	m_B mag 7	M_B mag 8	Incl deg 9	P.A. deg 10	Metal. 12+log(O/H) 11	SFR M_sun yr^-1 12	Type  ...  13	Notes  ...  14	
NGC 628	M 74, UGC 1149	01 36 41.8	+15 47 00	 7.3 [K04]	1.99	9.35	-19.97	 7	20 [T08]	8.33 [M06]	1.21 [L06]	5		
NGC 925	UGC 1913	02 27 16.5 [T08]	+33 34 44	 9.2 [F01]	2.03	9.77	-20.04	66	287 [dB08]	8.24 [M06]	1.09 [L06]	7		
NGC 1569	UGC 3056	04 30 49.0	+64 50 53	 2.0 [K04]	1.60	8.33	-18.12	63	112 [M05]	8.16 [S89]	0.06 [K98]	10		
NGC 2366	UGC 2366	07 28 53.4 [O08]	+69 12 51	 3.4 [H01]	1.64	10.51	-17.17	64	40 [O08]	7.96 [S89]	 ... 	10	B	
NGC 2403	UGC 3918	07 36 51.1 [T08]	+65 36 03	 3.2 [F01]	2.20	8.11	-19.43	63	124 [dB08]	8.31 [M06]	0.85 [L06]	6	B	
Ho II	UGC 4305	08 19 05.0	+70 43 12	 3.4 [K04]	1.82	10.78	-16.87	41	177 [P92]	7.68 [M06]	0.07 [L06]	10	W	
M81 DwA		08 23 56.0	+71 01 45	 3.6 [K04]	1.1^*	16.26	-11.49	23	49 [B06]	 ... 	 ... 	10		
DDO 53	UGC 4459	08 34 07.2	+66 10 54	 3.6 [K04]	0.89	14.31	-13.45	31	132 [B06]	7.77 [M06]	0.008 [L06]	10		
NGC 2841	UGC 4966	09 22 02.6 [T08]	+50 58 35	14.1 [M01]	1.84	9.54	-21.21	74	153 [dB08]	8.52 [M06]	0.20 [K03]	3		
NGC 2903	UGC 5079	09 32 10.1 [T08]	+21 30 04	 8.9 [D00]	2.07	8.82	-20.93	65	204 [dB08]	9.12 [Z94]	 ... 	4	W	
Ho I	UGC 5139	09 40 32.3	+71 10 56	 3.8 [K04]	1.52	13.12	-14.80	12	50 [O01]	7.54 [M06]	0.006 [L06]	10		
NGC 2976	UGC 5221	09 47 15.3 [T08]	+67 55 00	 3.6 [K02]	1.86	9.98	-17.78	65	335 [dB08]	8.30 [M06]	0.10 [L06]	5		
NGC 3031	M 81, UGC 5318	09 55 33.1 [T08]	+69 03 55	 3.6 [F01]	2.33	7.07	-20.73	59	330 [dB08]	8.41 [M06]	1.06 [L06]	2	B	
NGC 3077	UGC 5398	10 03 19.1	+68 44 02	 3.8 [K04]	1.73	10.16	-17.75	46	45	8.64 [S94]	0.09 [K98]	10		
M81 DwB	UGC 5423	10 05 30.6	+70 21 52	 5.3 [K04]	1.05	14.39	-14.23	44	321	7.85 [M06]	0.005 [L06]	10		
NGC 3184	UGC 5557	10 18 17.0	+41 25 28	11.1 [L02]	1.87	10.31	-19.92	16	179 [T08]	8.48 [M06]	1.43 [L06]	6	W	
NGC 3198	UGC 5572	10 19 55.0 [T08]	+45 32 59	13.8 [F01]	1.81	9.95	-20.75	72	215 [dB08]	8.32 [M06]	0.85 [K03]	5		
IC 2574	UGC 5666	10 28 27.7 [O08]	+68 24 59	 4.0 [K02]	2.11	9.91	-18.11	53	56 [O08]	7.94 [M06]	0.12 [L06]	9		
NGC 3351	M 95, UGC 5850	10 43 57.7	+11 42 14	10.1 [K04]	1.86	10.13	-19.88	41	192 [T08]	8.60 [M06]	0.71 [L06]	3		
NGC 3521	UGC 6150	11 05 48.6 [T08]	-00 02 09	10.7 [vflow]	1.92	9.21	-20.94	73	340 [dB08]	8.36 [M06]	3.34 [L06]	4		
NGC 3621		11 18 16.5 [T08]	-32 48 51	 6.6 [F01]	1.99	9.06	-20.05	65	345 [dB08]	8.24 [M06]	2.09 [L06]	7		
NGC 3627	M 66, UGC 6346	11 20 15.0 [T08]	+12 59 30	 9.3 [F01]	2.01	9.09	-20.74	62	173 [dB08]	8.43 [M06]	2.44 [L06]	3		
NGC 4214	UGC 7278	12 15 39.2	+36 19 37	 2.9 [K04]	1.83	9.91	-17.43	44	65	8.34 [S89]	0.05 [K98]	10	W	
NGC 4449	UGC 7592	12 28 11.9	+44 05 40	 4.2 [K04]	1.67	8.98	-19.14	60	230 [H98]	8.32 [S89]	 ... 	10	W	
