No.	Object Name	RA	Dec	Object Type	cz (Velocity)	Redshift (z)	z flag	Reference	Note	Photometry	Position	Redshift	Diameter	Distances	Classification	Images	Spectra
1	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 0676</a>"	27.238792	5.907528	G	1506	0.005023	SUN	117	5	41	19	9	6	2	18	10	6
2	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 1058</a>"	40.874989	37.341338	G	520	0.001735	S1L	507	10	125	42	24	7	15	61	21	10
3	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 3079</a>"	150.490848	55.679789	G	1106	0.003689	S1L	1001	35	331	93	61	8	24	45	93	13
4	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 3185</a>"	154.410688	21.688250	G	1230	0.004103	UUN	331	10	135	55	39	15	14	49	18	7
5	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 3486</a>"	165.099452	28.975137	G	678	0.002262	S1L	402	11	122	43	22	12	16	54	50	8
6	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 3941</a>"	178.230660	36.986328	G	922	0.003075	SUN	269	10	90	38	22	11	9	35	20	5
7	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 4051</a>"	180.790060	44.531334	G	700	0.002336	SUN	1544	40	425	126	92	10	22	53	73	26
8	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 4138</a>"	182.374083	43.685306	G	874	0.002915	S1L	376	10	228	68	46	9	5	34	39	7
9	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 4151</a>"	182.635745	39.405730	G	997	0.003326	UUN	2478	51	558	108	89	18	15	63	98	28
10	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 4388</a>"	186.444780	12.662086	G	2524	0.008419	SUN	1123	29	382	137	86	16	28	52	76	28
11	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 4477</a>"	187.509159	13.636604	G	1338	0.004463	UUN	416	8	178	56	25	15	10	22	36	6
12	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 4565</a>"	189.086584	25.987675	G	1282	0.004276	S1L	734	22	188	67	34	8	34	58	66	9
13	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 4639</a>"	190.718279	13.257398	G	1018	0.003395	S1L	680	18	132	56	31	8	76	86	33	7
14	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 4698</a>"	192.095446	8.487383	G	1009	0.003366	S1L	493	15	139	63	40	11	28	78	25	10
15	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 4725</a>"	192.610755	25.500805	G	1209	0.004033	S1L	668	18	273	82	35	12	48	75	123	29
16	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 5033</a>"	198.364441	36.593936	G	873	0.002912	S1L	898	29	404	73	46	15	25	62	75	33
17	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 5273</a>"	205.534740	35.654214	G	1083	0.003611	SLS	482	23	189	80	53	11	5	23	33	8
18	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 3227</a>"	155.877413	19.865050	G	1126	0.003756	UUN	1409	44	421	112	81	8	8	61	59	30
19	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MESSIER 051a</a>"	202.469629	47.195172	G	460	0.001534	SUN	2011	35	361	118	53	13	53	78	145	73
20	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MESSIER 077</a>"	40.669629	-0.013281	G	1137	0.003793	SUN	2614	61	612	135	88	14	11	70	118	37
21	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 2685</a>"	133.894628	58.734398	G	883	0.002945	SUN	410	15	131	35	21	12	8	41	30	9
22	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MESSIER 081</a>"	148.888221	69.065295	G	-39	-0.000130	UUN	2701	48	294	107	51	8	99	117	200	56
23	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MESSIER 106</a>"	184.739603	47.303973	G	461	0.001538	S1L	1364	35	237	95	58	12	95	103	71	11
24	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 4395</a>"	186.453592	33.546928	G	319	0.001064	SUN	860	31	210	101	58	17	17	50	63	11
25	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MESSIER 049</a>"	187.444841	8.000476	G	981	0.003272	UUN	1418	27	270	76	53	11	68	69	33	5
26	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MESSIER 088</a>"	187.996503	14.420387	G	2284	0.007619	S1L	820	21	205	72	43	11	44	71	52	8
27	"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MESSIER 058</a>"	189.431342	11.818194	G	1517	0.005060	S1L	1044	26	433	99	50	15	23	55	139	31
