#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-01-24T17:12:23 [V7.32.7]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2024-01-24T17:12:23	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/150/81&tab:{J/AJ/150/81/table1}&key:source=J/AJ/150/81/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/150/81/table1
#-order=I
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=Dist
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.7	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_51500081
#Name: J/AJ/150/81
#Title: CHANG-ES. IV. VLA D-configuration observations (Wiegert+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/aj/150/81	
#INFO	publisher=CDS	
#INFO	creator=Wiegert T.	
#INFO	related_resource=bibcode:2015AJ....150...81W	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/150/81	
#INFO	publication_id=doi:10.26093/cds/vizier.51500081	
#INFO	publication_date=2017-06-01	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_AJ_150_81_table1:
#Name: J/AJ/150/81/table1
#Title: Observations
#Column	Name	(A9)	Galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(F5.2)	[4.4/42] Distance	[ucd=pos.distance;pos.heliocentric]
Name	RAJ2000	DEJ2000	Dist
 	"h:m:s"	"d:m:s"	Mpc
---------	-----------	-----------	-----
NGC 660  	01 43 02.40	+13 38 42.2	12.30
NGC 660  	01 43 02.40	+13 38 42.2	12.30
NGC 660  	01 43 02.40	+13 38 42.2	12.30
NGC 660  	01 43 02.40	+13 38 42.2	12.30
NGC 891  	02 22 33.41	+42 20 56.9	 9.10
NGC 891  	02 22 33.41	+42 20 56.9	 9.10
NGC 891  	02 22 33.41	+42 20 56.9	 9.10
NGC 891  	02 22 33.41	+42 20 56.9	 9.10
NGC 2613 	08 33 22.84	-22 58 25.2	23.40
NGC 2613 	08 33 22.84	-22 58 25.2	23.40
NGC 2613 	08 33 22.84	-22 58 25.2	23.40
NGC 2683 	08 52 41.35	+33 25 18.5	 6.27
NGC 2683 	08 52 41.35	+33 25 18.5	 6.27
NGC 2820 	09 21 45.58	+64 15 28.6	26.50
NGC 2820 	09 21 45.58	+64 15 28.6	26.50
NGC 2992 	09 45 42.00	-14 19 35.0	34.00
NGC 2992 	09 45 42.00	-14 19 35.0	34.00
NGC 3003 	09 48 36.05	+33 25 17.4	25.40
NGC 3003 	09 48 36.05	+33 25 17.4	25.40
NGC 3044 	09 53 40.88	+01 34 46.7	20.30
NGC 3044 	09 53 40.88	+01 34 46.7	20.30
NGC 3079 	10 01 57.80	+55 40 47.3	20.60
NGC 3079 	10 01 57.80	+55 40 47.3	20.60
NGC 3432 	10 52 31.13	+36 37 07.6	 9.42
NGC 3432 	10 52 31.13	+36 37 07.6	 9.42
NGC 3448 	10 54 39.24	+54 18 18.8	24.50
NGC 3448 	10 54 39.24	+54 18 18.8	24.50
NGC 3556 	11 11 30.97	+55 40 26.8	14.09
NGC 3556 	11 11 30.97	+55 40 26.8	14.09
NGC 3628 	11 20 17.01	+13 35 22.9	 8.50
NGC 3628 	11 20 17.01	+13 35 22.9	 8.50
NGC 3735 	11 35 57.30	+70 32 08.1	42.00
NGC 3735 	11 35 57.30	+70 32 08.1	42.00
NGC 3877 	11 46 07.80	+47 29 41.2	17.70
NGC 3877 	11 46 07.80	+47 29 41.2	17.70
NGC 4013 	11 58 31.38	+43 56 47.7	16.00
NGC 4013 	11 58 31.38	+43 56 47.7	16.00
NGC 4096 	12 06 01.13	+47 28 42.4	10.32
NGC 4096 	12 06 01.13	+47 28 42.4	10.32
NGC 4157 	12 11 04.37	+50 29 04.8	15.60
NGC 4157 	12 11 04.37	+50 29 04.8	15.60
NGC 4192 	12 13 48.29	+14 54 01.2	13.55
NGC 4192 	12 13 48.29	+14 54 01.2	13.55
NGC 4192 	12 13 48.29	+14 54 01.2	13.55
NGC 4217 	12 15 50.90	+47 05 30.4	20.60
NGC 4217 	12 15 50.90	+47 05 30.4	20.60
NGC 4244 	12 17 29.66	+37 48 25.6	 4.40
NGC 4244 	12 17 29.66	+37 48 25.6	 4.40
NGC 4302 	12 21 42.48	+14 35 53.9	19.41
NGC 4302 	12 21 42.48	+14 35 53.9	19.41
NGC 4302 	12 21 42.48	+14 35 53.9	19.41
NGC 4388 	12 25 46.75	+12 39 43.5	16.60
NGC 4388 	12 25 46.75	+12 39 43.5	16.60
