NAME	RA	DEC	Redshift	r_SDSS	Current Status	Obs. Date	SDSS picture (1.5'x1.5')
UGC00005	00:03:05.64	-01:54:49.80	0.02434	13.2651	V500+V1200 Completed	2012-09-16	UGC00005
UGC00029	00:04:33.74	+28:18:06.20	0.02931	13.5423	V500+V1200 Completed	2011-10-25	UGC00029
IC1528	00:05:05.37	-07:05:36.20	0.01278	13.0864	V500+V1200 Completed	2013-08-10	IC1528
NGC7824	00:05:06.23	+06:55:12.52	0.020451	12.7133	V500+V1200 Completed	2013-08-11	NGC7824
UGC00036	00:05:13.88	+06:46:19.30	0.020958	13.4257	V500+V1200 Completed	2011-10-26	UGC00036
NGC0001	00:07:15.86	+27:42:29.09	0.015147	12.8901	V500+V1200 Completed	2011-08-01	NGC0001
NGC0023	00:09:53.42	+25:55:25.79	0.015227	11.9474	V500+V1200 Completed	2012-10-17	NGC0023
NGC0036	00:11:22.29	+06:23:21.66	0.02032	12.8137	V500+V1200 Completed	2011-07-31	NGC0036
UGC00139	00:14:31.86	-00:44:15.20	0.0131719	13.797	V500+V1200 Completed	2013-09-03	UGC00139
UGC00148	00:15:51.29	+16:05:23.39	0.013973	13.4091	V500+V1200 Completed	2012-08-22	UGC00148
MCG-02-02-030	00:30:07.30	-11:06:49.06	0.0117633	12.7943	V500+V1200 Completed	2013-09-02	MCG-02-02-030
UGC00312	00:31:23.92	+08:28:00.23	0.014497	13.5993	V500+V1200 Completed	2011-07-30	UGC00312
ESO539-G014	00:31:28.18	-19:45:41.23	0.023603	14.9674	V500+V1200 Completed	2013-10-03	ESO539-G014
MCG-02-02-040	00:31:35.78	-10:30:23.02	0.011755	13.5564	V500+V1200 Completed	2013-09-07	MCG-02-02-040
UGC00335NED02	00:33:57.32	+07:16:05.78	0.018259	13.6429	V500+V1200 Completed	2012-09-15	UGC00335NED02
NGC0155	00:34:40.08	-10:45:59.44	0.0206639	12.7868	V500+V1200 Completed	2013-12-05	NGC0155
ESO540-G003	00:35:39.49	-20:07:31.37	0.011114	13.2396	V500+V1200 Completed	2013-11-05	ESO540-G003
NGC0160	00:36:04.10	+23:57:28.47	0.017522	12.5622	V500+V1200 Completed	2012-09-15	NGC0160
NGC0165	00:36:28.92	-10:06:22.18	0.0196437	13.3618	V500+V1200 Completed	2013-11-07	NGC0165
NGC0169	00:36:51.60	+23:59:27.50	0.015447	12.9922	V500+V1200 Completed	2013-01-07	NGC0169
NGC0171	00:37:21.55	-19:56:03.20	0.0131	12.3082	V500+V1200 Completed	2013-10-04	NGC0171
NGC0177	00:37:34.33	-22:32:57.24	0.012822	13.0961	V500+V1200 Completed	2013-12-27	NGC0177
NGC0180	00:37:57.70	+08:38:06.58	0.017652	12.8046	V500+V1200 Completed	2013-09-02	NGC0180
NGC0192	00:39:13.41	+00:51:50.96	0.01404	12.4459	V500+V1200 Completed	2012-10-15	NGC0192
NGC0216	00:41:27.16	-21:02:40.82	0.005204	13.2062	V500+V1200 Completed	2013-11-08	NGC0216
NGC0214	00:41:28.03	+25:29:57.75	0.015087	12.1718	V500+V1200 Completed	2012-09-17	NGC0214
NGC0217	00:41:33.89	-10:01:17.14	0.0131494	12.0886	V500+V1200 Completed	2013-12-29	NGC0217
NGC0237	00:43:27.84	-00:07:29.74	0.013883	12.9289	V500+V1200 Completed	2013-09-04	NGC0237
NGC0234	00:43:32.39	+14:20:33.24	0.0148695	12.6067	V500+V1200 Completed	2012-10-15	NGC0234
MCG-02-03-015	00:47:46.43	-09:50:06.18	0.019131	13.4072	V500+V1200 Completed	2014-01-03	MCG-02-03-015
NGC0257	00:48:01.51	+08:17:49.45	0.017539	12.6477	V500+V1200 Completed	2012-07-14	NGC0257
NGC0309	00:56:42.66	-09:54:49.91	0.0189012	12.6906	V500+V1200 Completed	2014-10-22	NGC0309
NGC0364	01:04:40.83	-00:48:09.88	0.0170784	12.9521	V500+V1200 Completed	2013-12-05	NGC0364
NGC0429	01:12:57.42	-00:20:41.98	0.0187923	13.5012	V500+V1200 Completed	2014-01-05	NGC0429
IC1652	01:14:56.27	+31:56:54.60	0.017279	13.6123	V500+V1200 Completed	2013-09-08	IC1652
NGC0447	01:15:37.64	+33:04:03.96	0.018653	13.0497	V500+V1200 Completed	2013-11-05	NGC0447
NGC0444	01:15:49.56	+31:04:50.24	0.016141	14.2056	V500+V1200 Completed	2011-09-27	NGC0444
UGC00809	01:15:51.83	+33:48:38.53	0.01401	14.4177	V500+V1200 Completed	2013-09-10	UGC00809
UGC00841	01:19:10.02	+33:01:50.25	0.018626	14.4744	V500+V1200 Completed	2012-10-16	UGC00841
NGC0477	01:21:20.48	+40:29:17.33	0.01956	13.8149	V500+V1200 Completed	2012-01-20	NGC0477
IC1683	01:22:38.92	+34:26:13.65	0.016185	13.4047	V500+V1200 Completed	2011-08-28	IC1683
NGC0499	01:23:11.49	+33:27:36.68	0.014567	12.0923	V500+V1200 Completed	2013-01-07	NGC0499
NGC0496	01:23:11.59	+33:31:45.38	0.020054	13.5848	V500+V1200 Completed	2012-01-20	NGC0496
NGC0504	01:23:27.90	+33:12:15.67	0.014096	13.354	V500+V1200 Completed	2013-11-07	NGC0504
NGC0517	01:24:43.80	+33:25:46.53	0.014003	12.9589	V500+V1200 Completed	2012-10-16	NGC0517
NGC0523	01:25:20.75	+34:01:29.82	0.016223	13.1746	V500+V1200 Completed	2013-11-11	NGC0523
UGC00987	01:25:31.44	+32:08:10.58	0.015524	13.1896	V500+V1200 Completed	2013-12-05	UGC00987
NGC0528	01:25:33.57	+33:40:17.19	0.016084	12.8113	V500+V1200 Completed	2013-12-06	NGC0528
