Galaxy	Dist. (Mpc)	Incl. (deg)	P.A.^a (deg)	r_25^b (')	
NGC 628	7.3	7	20	4.9	
NGC 925	9.2	66	287	5.3	
Holmberg II	3.4	41	177	3.8	
NGC 2841	14.1	74	154	5.3	
NGC 2903	8.9	65	204	5.9	
Holmberg I	3.8	12	50	1.6	
NGC 2976	3.6	65	335	3.6	
NGC 3184	11.1	16	179	3.7	
NGC 3198	13.8	72	215	3.2	
IC 2574	4.0	53	56	6.4	
NGC 3351	10.1	41	192	3.6	
NGC 3521	10.7	73	340	4.2	
NGC 4214	2.9	44	65	3.4	
NGC 4736	4.7	41	296	3.9	
DDO 154	4.3	66	230	1.0	
NGC 5055	10.1	59	102	5.9	
NGC 6946	5.9	33	243	5.7	
NGC 7331	14.7	76	168	4.6	v
