ID	RA	Dec	Type	Bmag	Dist	Tel
1	03 09 37.8	−41 01 50	SABm	12.76	12.9	K/G
2	03 10 10.5	−40 00 11	IAB	15.57	9.3	G
3	03 51 40.9	−38 27 08	IBm	14.59	11.7	G
4	03 10 24.3	−33 09 22	SBm	14.61	17.8	G
5	20 09 31.8	−61 51 02	SBdm	13.61	11.2	K
6	13 21 08.2	−31 31 45	I	17.17	5.2	G
7	11 06 12.0	−14 24 26	I	15.8	12.7	G
8	01 35 04.6	−41 26 10	SBm	11.59	4.1	K
9	03 35 01.3	−24 56 00	SABa	11.41	20.4	G
10	04 29 40.1	−27 24 31	Pec	14.38	13	G
11	11 03 23.8	−23 05 12	SAc	11.36	14.2	G
12	11 18 16.5	−32 48 51	SAd	10.16	6.6	M
13	13 18 54.8	−21 02 21	SABcd	9.93	6.9	G
14	13 29 48.8	−17 57 59	SAc	11.54	28	G
15	22 57 18.4	−41 04 14	SABcd	10.69	13.6	K
16	23 57 49.8	−32 35 28	SAd	9.61	3.9	K
17	00 49 49.2	−21 00 54	IBm	14.99	3.3	G
18	11 53 24.0	−28 33 11	Sd	12.75	24.4	G
19	12 53 57.3	−12 06 21	IBm	13.99	8.6	G
20	13 03 16.7	−17 25 23	IBm	13.07	7.7	G
