#import packages
import math as m
import statistics as stat
import numpy as np
import csv
import pandas as pd

import seaborn as sns
import matplotlib.pyplot as plt

from astropy.io import ascii
Survey	RA	Dec	Type
11HUGS	0.09375	39.495556	Decimal
11HUGS	0.492083	-15.460833	Decimal
11HUGS	1.3825	-28.098056	Decimal
11HUGS	2.055417	-34.578333	Decimal
11HUGS	2.48625	-24.962222	Decimal
11HUGS	3.516667	-23.181944	Decimal
11HUGS	3.725	-39.196944	Decimal
11HUGS	3.855833	-21.445	Decimal
11HUGS	4.7975	-22.668333	Decimal
11HUGS	5.09625	59.293056	Decimal
11HUGS	7.84375	-22.765833	Decimal
11HUGS	10.625417	40.575833	Decimal
11HUGS	10.684583	41.269167	Decimal
11HUGS	10.765833	-22.246944	Decimal
11HUGS	11.784583	-20.760556	Decimal
11HUGS	11.887917	-25.288333	Decimal
11HUGS	12.455	-21.015	Decimal
11HUGS	13.186667	-72.828611	Decimal
11HUGS	13.722917	-37.683333	Decimal
11HUGS	15.979167	21.885	Decimal
11HUGS	16.199167	2.117778	Decimal
11HUGS	16.843333	16.683889	Decimal
11HUGS	16.943333	1.063611	Decimal
11HUGS	20.32875	12.411944	Decimal
11HUGS	22.197083	16.688611	Decimal
11HUGS	23.177083	18.317222	Decimal
11HUGS	23.462083	30.660278	Decimal
11HUGS	23.7675	-41.4375	Decimal
11HUGS	24.17375	15.783056	Decimal
11HUGS	25.04125	15.904722	Decimal
11HUGS	25.81125	19.975556	Decimal
11HUGS	26.265417	-43.598056	Decimal
11HUGS	26.8775	27.331111	Decimal
11HUGS	26.97625	27.433056	Decimal
11HUGS	27.380833	32.588611	Decimal
11HUGS	27.77625	-44.444722	Decimal
11HUGS	30.320833	28.8375	Decimal
11HUGS	31.02125	24.208333	Decimal
11HUGS	33.515	27.877222	Decimal
11HUGS	35.305833	42.762778	Decimal
11HUGS	35.639167	42.349167	Decimal
11HUGS	36.250833	36.037778	Decimal
11HUGS	36.820417	33.579167	Decimal
11HUGS	36.9575	31.726667	Decimal
11HUGS	37.7025	37.137222	Decimal
11HUGS	38.1	35.495	Decimal
11HUGS	38.225	38.680556	Decimal
11HUGS	38.325833	33.491111	Decimal
11HUGS	38.42875	40.528056	Decimal
11HUGS	39.450417	-61.338333	Decimal
11HUGS	39.819167	40.8725	Decimal
11HUGS	40.47875	59.604167	Decimal
11HUGS	40.874583	37.340833	Decimal
11HUGS	41.980833	37.538333	Decimal
11HUGS	44.21	-54.571389	Decimal
11HUGS	44.9275	25.238056	Decimal
11HUGS	47.4075	-41.030556	Decimal
11HUGS	47.54375	-40.003056	Decimal
11HUGS	49.32625	-41.107778	Decimal
11HUGS	49.565833	-66.498056	Decimal
